category,uid,view,class,fg_ratio,bbox_width,bbox_height,bbox_area_ratio,path
bottle,00a64fb677b7f0d9d61e067672356ed1,front,ok,0.219036,456,180,0.313110,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/00a64fb677b7f0d9d61e067672356ed1/front.png
bottle,00a64fb677b7f0d9d61e067672356ed1,left,ok,0.134949,119,367,0.166599,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/00a64fb677b7f0d9d61e067672356ed1/left.png
bottle,00a64fb677b7f0d9d61e067672356ed1,back,ok,0.219238,457,180,0.313797,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/00a64fb677b7f0d9d61e067672356ed1/back.png
bottle,00a64fb677b7f0d9d61e067672356ed1,right,ok,0.095413,78,388,0.115448,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/00a64fb677b7f0d9d61e067672356ed1/right.png
bottle,00c47f45cd33a2960d332618824d01c6,front,ok,0.222233,463,144,0.254333,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/00c47f45cd33a2960d332618824d01c6/front.png
bottle,00c47f45cd33a2960d332618824d01c6,left,ok,0.208969,216,352,0.290039,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/00c47f45cd33a2960d332618824d01c6/left.png
bottle,00c47f45cd33a2960d332618824d01c6,back,ok,0.222191,463,144,0.254333,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/00c47f45cd33a2960d332618824d01c6/back.png
bottle,00c47f45cd33a2960d332618824d01c6,right,ok,0.172176,162,356,0.220001,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/00c47f45cd33a2960d332618824d01c6/right.png
bottle,013fb794b1f4679e24f57ca687b2a23c,front,ok,0.188049,457,142,0.247551,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/013fb794b1f4679e24f57ca687b2a23c/front.png
bottle,013fb794b1f4679e24f57ca687b2a23c,left,ok,0.193531,206,345,0.271111,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/013fb794b1f4679e24f57ca687b2a23c/left.png
bottle,013fb794b1f4679e24f57ca687b2a23c,back,ok,0.187626,458,142,0.248093,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/013fb794b1f4679e24f57ca687b2a23c/back.png
bottle,013fb794b1f4679e24f57ca687b2a23c,right,ok,0.110809,136,366,0.189880,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/013fb794b1f4679e24f57ca687b2a23c/right.png
bottle,0177d045454baecd84e25257f9642cc8,front,ok,0.182957,456,138,0.240051,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/0177d045454baecd84e25257f9642cc8/front.png
bottle,0177d045454baecd84e25257f9642cc8,left,ok,0.164871,181,343,0.236828,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/0177d045454baecd84e25257f9642cc8/left.png
bottle,0177d045454baecd84e25257f9642cc8,back,ok,0.187542,454,141,0.244194,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/0177d045454baecd84e25257f9642cc8/back.png
bottle,0177d045454baecd84e25257f9642cc8,right,ok,0.109638,125,353,0.168324,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/0177d045454baecd84e25257f9642cc8/right.png
bottle,019adc7dd73fdd009f4e3ab6804651b1,front,ok,0.428516,474,274,0.495438,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/019adc7dd73fdd009f4e3ab6804651b1/front.png
bottle,019adc7dd73fdd009f4e3ab6804651b1,left,ok,0.407017,354,379,0.511803,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/019adc7dd73fdd009f4e3ab6804651b1/left.png
bottle,019adc7dd73fdd009f4e3ab6804651b1,back,ok,0.433029,473,274,0.494392,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/019adc7dd73fdd009f4e3ab6804651b1/back.png
bottle,019adc7dd73fdd009f4e3ab6804651b1,right,ok,0.357044,324,370,0.457306,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/019adc7dd73fdd009f4e3ab6804651b1/right.png
