category,uid,class,best_fg_ratio,best_bbox_area_ratio,best_max_dim,view_classes,asset_dir,usd_path
bottle,00593cd931a79e9f71537be5d2f667d3,ok,0.214485,0.293335,465,ok;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00593cd931a79e9f71537be5d2f667d3,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00593cd931a79e9f71537be5d2f667d3/usd/00593cd931a79e9f71537be5d2f667d3.usd
bottle,00a64fb677b7f0d9d61e067672356ed1,blank,0.000000,0.000000,0,blank;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00a64fb677b7f0d9d61e067672356ed1,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00a64fb677b7f0d9d61e067672356ed1/usd/00a64fb677b7f0d9d61e067672356ed1.usd
bottle,00bc2d5da58690ed3e2a05afa7c9fb8f,ok,0.227909,0.325874,462,ok;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00bc2d5da58690ed3e2a05afa7c9fb8f,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00bc2d5da58690ed3e2a05afa7c9fb8f/usd/00bc2d5da58690ed3e2a05afa7c9fb8f.usd
bottle,00c47f45cd33a2960d332618824d01c6,suspicious,0.015636,0.021790,84,blank;blank;blank;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00c47f45cd33a2960d332618824d01c6,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00c47f45cd33a2960d332618824d01c6/usd/00c47f45cd33a2960d332618824d01c6.usd
bottle,00c71d08bd3bd4fdf66d7abc40b6ea22,ok,0.155846,0.236053,460,ok;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00c71d08bd3bd4fdf66d7abc40b6ea22,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00c71d08bd3bd4fdf66d7abc40b6ea22/usd/00c71d08bd3bd4fdf66d7abc40b6ea22.usd
bottle,013fb794b1f4679e24f57ca687b2a23c,blank,0.000000,0.000000,0,blank;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/013fb794b1f4679e24f57ca687b2a23c,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/013fb794b1f4679e24f57ca687b2a23c/usd/013fb794b1f4679e24f57ca687b2a23c.usd
bottle,0151b9d122f0f9ec09fbedec8f0f69e9,ok,0.972656,0.972656,512,ok;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/0151b9d122f0f9ec09fbedec8f0f69e9,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/0151b9d122f0f9ec09fbedec8f0f69e9/usd/0151b9d122f0f9ec09fbedec8f0f69e9.usd
bottle,015d853da4361e2421401262b668ba5f,ok,0.389561,0.425781,512,ok;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/015d853da4361e2421401262b668ba5f,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/015d853da4361e2421401262b668ba5f/usd/015d853da4361e2421401262b668ba5f.usd
bottle,0177d045454baecd84e25257f9642cc8,blank,0.000000,0.000000,0,blank;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/0177d045454baecd84e25257f9642cc8,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/0177d045454baecd84e25257f9642cc8/usd/0177d045454baecd84e25257f9642cc8.usd
bottle,019adc7dd73fdd009f4e3ab6804651b1,blank,0.000000,0.000000,0,blank;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/019adc7dd73fdd009f4e3ab6804651b1,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/019adc7dd73fdd009f4e3ab6804651b1/usd/019adc7dd73fdd009f4e3ab6804651b1.usd
