category,uid,image_class,category_group,old_diag,new_diag,diag_ratio,center_offset_ratio,fallback_changed,rerender_recommended,scan_error,best_fg_ratio,best_bbox_area_ratio,best_max_dim,view_classes,asset_dir,usd_path
bottle,00a64fb677b7f0d9d61e067672356ed1,blank,object,28.721849,28.721849,1.000000,4.810585,true,true,,0.000000,0.000000,0,blank;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00a64fb677b7f0d9d61e067672356ed1,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00a64fb677b7f0d9d61e067672356ed1/usd/00a64fb677b7f0d9d61e067672356ed1.usd
bottle,00c47f45cd33a2960d332618824d01c6,suspicious,object,20.331459,20.331459,1.000000,2.705203,true,true,,0.015636,0.021790,84,blank;blank;blank;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00c47f45cd33a2960d332618824d01c6,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00c47f45cd33a2960d332618824d01c6/usd/00c47f45cd33a2960d332618824d01c6.usd
bottle,013fb794b1f4679e24f57ca687b2a23c,blank,object,27.647707,27.647708,1.000000,3.196828,true,true,,0.000000,0.000000,0,blank;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/013fb794b1f4679e24f57ca687b2a23c,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/013fb794b1f4679e24f57ca687b2a23c/usd/013fb794b1f4679e24f57ca687b2a23c.usd
bottle,0177d045454baecd84e25257f9642cc8,blank,object,35.704486,35.704485,1.000000,3.673337,true,true,,0.000000,0.000000,0,blank;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/0177d045454baecd84e25257f9642cc8,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/0177d045454baecd84e25257f9642cc8/usd/0177d045454baecd84e25257f9642cc8.usd
bottle,019adc7dd73fdd009f4e3ab6804651b1,blank,object,22.335268,22.335268,1.000000,3.409079,true,true,,0.000000,0.000000,0,blank;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/019adc7dd73fdd009f4e3ab6804651b1,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/019adc7dd73fdd009f4e3ab6804651b1/usd/019adc7dd73fdd009f4e3ab6804651b1.usd
bottle,01d1b94ffd9c81ce23d9ebdf423a6f03,blank,object,26.966021,26.966021,1.000000,6.831322,true,true,,0.000000,0.000000,0,blank;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/01d1b94ffd9c81ce23d9ebdf423a6f03,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/01d1b94ffd9c81ce23d9ebdf423a6f03/usd/01d1b94ffd9c81ce23d9ebdf423a6f03.usd
bottle,01f27c1a96d01cb2529616358da2c7b8,blank,object,27.814674,27.814673,1.000000,3.430180,true,true,,0.000000,0.000000,0,blank;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/01f27c1a96d01cb2529616358da2c7b8,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/01f27c1a96d01cb2529616358da2c7b8/usd/01f27c1a96d01cb2529616358da2c7b8.usd
bottle,0209ccaed35203f51af7df64971c6eaa,suspicious,object,16.351621,16.351621,1.000000,4.628816,true,true,,0.002022,0.002884,28,blank;tiny;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/0209ccaed35203f51af7df64971c6eaa,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/0209ccaed35203f51af7df64971c6eaa/usd/0209ccaed35203f51af7df64971c6eaa.usd
bottle,02f0980a9d72f1f58f4ccbb5fca7b24b,suspicious,object,18.616232,18.616232,1.000000,2.766932,true,true,,0.025463,0.034657,115,ok;ok;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/02f0980a9d72f1f58f4ccbb5fca7b24b,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/02f0980a9d72f1f58f4ccbb5fca7b24b/usd/02f0980a9d72f1f58f4ccbb5fca7b24b.usd
bottle,03043a8cf7e5ef575be50a42b8521b7c,blank,object,27.342545,27.342544,1.000000,2.178082,true,true,,0.000000,0.000000,0,blank;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/03043a8cf7e5ef575be50a42b8521b7c,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/03043a8cf7e5ef575be50a42b8521b7c/usd/03043a8cf7e5ef575be50a42b8521b7c.usd
