category,uid,view,source_png,backup_png,rerender_png,source_sha256_before,rerender_sha256,source_size_before,rerender_size
bottle,00a64fb677b7f0d9d61e067672356ed1,front,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00a64fb677b7f0d9d61e067672356ed1/front.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/bottle-blank-investigation/overwrite_387_ok_2026-05-09/source_png_backup/bottle/00a64fb677b7f0d9d61e067672356ed1/front.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/00a64fb677b7f0d9d61e067672356ed1/front.png,aaea2a8407a1c306a3f634a428085db98fe4357058f9ddca6905c84e15c36005,7c843d043feea63efac112d352c5a92b12915fbbd970be387dbe72d470e248dc,2255,49363
bottle,00a64fb677b7f0d9d61e067672356ed1,left,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00a64fb677b7f0d9d61e067672356ed1/left.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/bottle-blank-investigation/overwrite_387_ok_2026-05-09/source_png_backup/bottle/00a64fb677b7f0d9d61e067672356ed1/left.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/00a64fb677b7f0d9d61e067672356ed1/left.png,aaea2a8407a1c306a3f634a428085db98fe4357058f9ddca6905c84e15c36005,ba19659c3b245925a2eefed52e9e97d255eec99c349504099b35ff20357c1446,2255,23412
bottle,00a64fb677b7f0d9d61e067672356ed1,back,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00a64fb677b7f0d9d61e067672356ed1/back.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/bottle-blank-investigation/overwrite_387_ok_2026-05-09/source_png_backup/bottle/00a64fb677b7f0d9d61e067672356ed1/back.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/00a64fb677b7f0d9d61e067672356ed1/back.png,aaea2a8407a1c306a3f634a428085db98fe4357058f9ddca6905c84e15c36005,3f818adf4f4a83ae982a4bb7689d94bd3d9ad2a51ff5af7489b55d5545ea208d,2255,24060
bottle,00a64fb677b7f0d9d61e067672356ed1,right,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00a64fb677b7f0d9d61e067672356ed1/right.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/bottle-blank-investigation/overwrite_387_ok_2026-05-09/source_png_backup/bottle/00a64fb677b7f0d9d61e067672356ed1/right.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/00a64fb677b7f0d9d61e067672356ed1/right.png,aaea2a8407a1c306a3f634a428085db98fe4357058f9ddca6905c84e15c36005,7bcdf06868e7f71e25b9a036ff28d0bd38d43b44c9fc5a7ef3907993a1c27867,2255,26352
bottle,00c47f45cd33a2960d332618824d01c6,front,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00c47f45cd33a2960d332618824d01c6/front.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/bottle-blank-investigation/overwrite_387_ok_2026-05-09/source_png_backup/bottle/00c47f45cd33a2960d332618824d01c6/front.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/00c47f45cd33a2960d332618824d01c6/front.png,aaea2a8407a1c306a3f634a428085db98fe4357058f9ddca6905c84e15c36005,9050b28c247dfb738457aeda121bb37fa407569206c0442a7e7aca0f5152a390,2255,63039
bottle,00c47f45cd33a2960d332618824d01c6,left,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00c47f45cd33a2960d332618824d01c6/left.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/bottle-blank-investigation/overwrite_387_ok_2026-05-09/source_png_backup/bottle/00c47f45cd33a2960d332618824d01c6/left.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/00c47f45cd33a2960d332618824d01c6/left.png,aaea2a8407a1c306a3f634a428085db98fe4357058f9ddca6905c84e15c36005,69d23fecf5ba07dea25a5d79603220f62441dc7a4740d479b954ec50a4cd2f02,2255,48578
bottle,00c47f45cd33a2960d332618824d01c6,back,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00c47f45cd33a2960d332618824d01c6/back.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/bottle-blank-investigation/overwrite_387_ok_2026-05-09/source_png_backup/bottle/00c47f45cd33a2960d332618824d01c6/back.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/00c47f45cd33a2960d332618824d01c6/back.png,aaea2a8407a1c306a3f634a428085db98fe4357058f9ddca6905c84e15c36005,8a79d47e6d0f508dce3b4ea3bb123d00396c76870589d52e08335c70e4980d82,2255,58609
bottle,00c47f45cd33a2960d332618824d01c6,right,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00c47f45cd33a2960d332618824d01c6/right.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/bottle-blank-investigation/overwrite_387_ok_2026-05-09/source_png_backup/bottle/00c47f45cd33a2960d332618824d01c6/right.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/00c47f45cd33a2960d332618824d01c6/right.png,b9390d777b431e5fc07d1eb25bab42495063919f20bcd88e9cee930abc04dc9c,a38c8b7dd894731cdefea6291448c8cf77f8cbf26e8c812ed76b1c85c9a25394,11021,46741
bottle,013fb794b1f4679e24f57ca687b2a23c,front,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/013fb794b1f4679e24f57ca687b2a23c/front.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/bottle-blank-investigation/overwrite_387_ok_2026-05-09/source_png_backup/bottle/013fb794b1f4679e24f57ca687b2a23c/front.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/013fb794b1f4679e24f57ca687b2a23c/front.png,aaea2a8407a1c306a3f634a428085db98fe4357058f9ddca6905c84e15c36005,1b2bd436b93a4723efd7ca1a813662aaacadca454b1ef7f1aef581874feb10fc,2255,44063
bottle,013fb794b1f4679e24f57ca687b2a23c,left,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/013fb794b1f4679e24f57ca687b2a23c/left.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/bottle-blank-investigation/overwrite_387_ok_2026-05-09/source_png_backup/bottle/013fb794b1f4679e24f57ca687b2a23c/left.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/013fb794b1f4679e24f57ca687b2a23c/left.png,aaea2a8407a1c306a3f634a428085db98fe4357058f9ddca6905c84e15c36005,a474d21fa292570846a5c5006a8524d73d9bb7e5b51529beab605cfe4094d6de,2255,31351
