category,uid,view,class,fg_ratio,bbox_width,bbox_height,bbox_area_ratio,max_dim,source_sha256_after,matches_rerender_sha,source_png
bottle,00a64fb677b7f0d9d61e067672356ed1,front,ok,0.219036,456,180,0.313110,456,7c843d043feea63efac112d352c5a92b12915fbbd970be387dbe72d470e248dc,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00a64fb677b7f0d9d61e067672356ed1/front.png
bottle,00a64fb677b7f0d9d61e067672356ed1,left,ok,0.134949,119,367,0.166599,367,ba19659c3b245925a2eefed52e9e97d255eec99c349504099b35ff20357c1446,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00a64fb677b7f0d9d61e067672356ed1/left.png
bottle,00a64fb677b7f0d9d61e067672356ed1,back,ok,0.219238,457,180,0.313797,457,3f818adf4f4a83ae982a4bb7689d94bd3d9ad2a51ff5af7489b55d5545ea208d,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00a64fb677b7f0d9d61e067672356ed1/back.png
bottle,00a64fb677b7f0d9d61e067672356ed1,right,ok,0.095413,78,388,0.115448,388,7bcdf06868e7f71e25b9a036ff28d0bd38d43b44c9fc5a7ef3907993a1c27867,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00a64fb677b7f0d9d61e067672356ed1/right.png
bottle,00c47f45cd33a2960d332618824d01c6,front,ok,0.222233,463,144,0.254333,463,9050b28c247dfb738457aeda121bb37fa407569206c0442a7e7aca0f5152a390,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00c47f45cd33a2960d332618824d01c6/front.png
bottle,00c47f45cd33a2960d332618824d01c6,left,ok,0.208969,216,352,0.290039,352,69d23fecf5ba07dea25a5d79603220f62441dc7a4740d479b954ec50a4cd2f02,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00c47f45cd33a2960d332618824d01c6/left.png
bottle,00c47f45cd33a2960d332618824d01c6,back,ok,0.222191,463,144,0.254333,463,8a79d47e6d0f508dce3b4ea3bb123d00396c76870589d52e08335c70e4980d82,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00c47f45cd33a2960d332618824d01c6/back.png
bottle,00c47f45cd33a2960d332618824d01c6,right,ok,0.172176,162,356,0.220001,356,a38c8b7dd894731cdefea6291448c8cf77f8cbf26e8c812ed76b1c85c9a25394,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/00c47f45cd33a2960d332618824d01c6/right.png
bottle,013fb794b1f4679e24f57ca687b2a23c,front,ok,0.188049,457,142,0.247551,457,1b2bd436b93a4723efd7ca1a813662aaacadca454b1ef7f1aef581874feb10fc,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/013fb794b1f4679e24f57ca687b2a23c/front.png
bottle,013fb794b1f4679e24f57ca687b2a23c,left,ok,0.193531,206,345,0.271111,345,a474d21fa292570846a5c5006a8524d73d9bb7e5b51529beab605cfe4094d6de,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/013fb794b1f4679e24f57ca687b2a23c/left.png
bottle,013fb794b1f4679e24f57ca687b2a23c,back,ok,0.187626,458,142,0.248093,458,aade1e3bdb245c99d60d2c6c7fa571326a6f94b1b020ba30d134ab98215a572a,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/013fb794b1f4679e24f57ca687b2a23c/back.png
bottle,013fb794b1f4679e24f57ca687b2a23c,right,ok,0.110809,136,366,0.189880,366,9b4e7c6592fe80c9fb84d75894e42d59aa4b7bb88c6f5de29853edf1feb20901,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/013fb794b1f4679e24f57ca687b2a23c/right.png
bottle,0177d045454baecd84e25257f9642cc8,front,ok,0.182957,456,138,0.240051,456,e040a7393ee1537854fe1c012b5cd137774b8cf6efb8d5d0095fc469c5b50db8,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/0177d045454baecd84e25257f9642cc8/front.png
bottle,0177d045454baecd84e25257f9642cc8,left,ok,0.164871,181,343,0.236828,343,0219da60ea57dcedee55ad06660e3add8546fc9e243f7a5b62a57538cd2c3509,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/0177d045454baecd84e25257f9642cc8/left.png
bottle,0177d045454baecd84e25257f9642cc8,back,ok,0.187542,454,141,0.244194,454,d55a8f410682404eb7d116192337a61a08f248b8167f9a539a16b36a3ef35766,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/0177d045454baecd84e25257f9642cc8/back.png
bottle,0177d045454baecd84e25257f9642cc8,right,ok,0.109638,125,353,0.168324,353,308b3b621954067811b6f5c5dbdb24e3ae731504063acaedeba3689bdb292c0c,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/0177d045454baecd84e25257f9642cc8/right.png
bottle,019adc7dd73fdd009f4e3ab6804651b1,front,ok,0.428516,474,274,0.495438,474,75064e43c7e2640a00b6bb61d33fa084013e48f13b3edb3d292ee9779c6cc199,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/019adc7dd73fdd009f4e3ab6804651b1/front.png
bottle,019adc7dd73fdd009f4e3ab6804651b1,left,ok,0.407017,354,379,0.511803,379,5fac53dbe25c7b424b15834c2e5717501a5b3fde23836ebb6e277ff866f5fa45,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/019adc7dd73fdd009f4e3ab6804651b1/left.png
bottle,019adc7dd73fdd009f4e3ab6804651b1,back,ok,0.433029,473,274,0.494392,473,be354abc48ba3da81f6d099f3002b265ec3d5419b245714dc6a01bf70ef393a2,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/019adc7dd73fdd009f4e3ab6804651b1/back.png
bottle,019adc7dd73fdd009f4e3ab6804651b1,right,ok,0.357044,324,370,0.457306,370,1647fd08efaa120591f6ca892a5b2b4142cd720fe27b2c44b4f8b6e0061cbfff,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/019adc7dd73fdd009f4e3ab6804651b1/right.png
bottle,01d1b94ffd9c81ce23d9ebdf423a6f03,front,ok,0.292252,480,173,0.316772,480,21216b1622236ab2390860e7555103731bf5c158a2bf9148da1dce9b06d55348,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/01d1b94ffd9c81ce23d9ebdf423a6f03/front.png
bottle,01d1b94ffd9c81ce23d9ebdf423a6f03,left,ok,0.287903,292,370,0.412140,370,4a067653d267bd7ca4b8d5166ef5a6592c1827be915120319492ec5b12348e8e,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/01d1b94ffd9c81ce23d9ebdf423a6f03/left.png
bottle,01d1b94ffd9c81ce23d9ebdf423a6f03,back,ok,0.293598,480,173,0.316772,480,7feb552b3b0d3cc12cb3bb5c3d5040ef4d27ac4d36a83a8480e7f2732a422f6d,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/bottle/01d1b94ffd9c81ce23d9ebdf423a6f03/back.png
