category,uid,previous_class,new_class,best_fg_ratio,best_bbox_area_ratio,best_max_dim,view_classes,diag_ratio,usd_path
basket,7cd32709e3c92308fd7b862be409b30d,suspicious,ok,0.422844,0.521790,412,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/basket/7cd32709e3c92308fd7b862be409b30d/usd/7cd32709e3c92308fd7b862be409b30d.usd
blanket,3fa607b60ed20876b8ee335914ae0f4b,suspicious,ok,0.170692,0.356422,363,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/3fa607b60ed20876b8ee335914ae0f4b/usd/3fa607b60ed20876b8ee335914ae0f4b.usd
blanket,7ba65ae6d1f003f82a5835ced4212581,suspicious,ok,0.312077,0.436707,389,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/7ba65ae6d1f003f82a5835ced4212581/usd/7ba65ae6d1f003f82a5835ced4212581.usd
book,00805f2531e4e167091fdff03d67a735,blank,ok,0.280956,0.374096,512,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/00805f2531e4e167091fdff03d67a735/usd/00805f2531e4e167091fdff03d67a735.usd
book,0111e4f533b7df61233be21742dccac3,suspicious,ok,0.306351,0.403027,512,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/0111e4f533b7df61233be21742dccac3/usd/0111e4f533b7df61233be21742dccac3.usd
book,01c1ecde24e2b22424d55cca6c26faee,suspicious,ok,0.269863,0.363811,510,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/01c1ecde24e2b22424d55cca6c26faee/usd/01c1ecde24e2b22424d55cca6c26faee.usd
book,0259ea624412af7330f53dcdce5992bb,suspicious,ok,0.291676,0.385521,512,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/0259ea624412af7330f53dcdce5992bb/usd/0259ea624412af7330f53dcdce5992bb.usd
book,028663dd7399822b6ba00d3bf6895b7b,suspicious,ok,0.327656,0.422516,499,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/028663dd7399822b6ba00d3bf6895b7b/usd/028663dd7399822b6ba00d3bf6895b7b.usd
book,0331b82f5db95201bbef0d71f3bba9cb,blank,ok,0.321659,0.405258,468,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/0331b82f5db95201bbef0d71f3bba9cb/usd/0331b82f5db95201bbef0d71f3bba9cb.usd
book,034dbe390f0aa861e352f01c82156d1e,suspicious,ok,0.299473,0.395737,512,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/034dbe390f0aa861e352f01c82156d1e/usd/034dbe390f0aa861e352f01c82156d1e.usd
book,03de8bd80383a9820dc15444763b36bb,blank,ok,0.289494,0.382942,512,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/03de8bd80383a9820dc15444763b36bb/usd/03de8bd80383a9820dc15444763b36bb.usd
book,04426d4eb9307162c287911faf875e01,suspicious,ok,0.307922,0.403027,512,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/04426d4eb9307162c287911faf875e01/usd/04426d4eb9307162c287911faf875e01.usd
book,048e4018ce3951081468d87cbfe98ef0,blank,ok,0.188087,0.377327,361,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/048e4018ce3951081468d87cbfe98ef0/usd/048e4018ce3951081468d87cbfe98ef0.usd
