category,uid,view,class,fg_ratio,bbox_width,bbox_height,bbox_area_ratio,path
basket,7cd32709e3c92308fd7b862be409b30d,front,ok,0.385933,343,361,0.472347,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/basket/7cd32709e3c92308fd7b862be409b30d/front.png
basket,7cd32709e3c92308fd7b862be409b30d,left,ok,0.422844,401,329,0.503269,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/basket/7cd32709e3c92308fd7b862be409b30d/left.png
basket,7cd32709e3c92308fd7b862be409b30d,back,ok,0.380665,338,360,0.464172,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/basket/7cd32709e3c92308fd7b862be409b30d/back.png
basket,7cd32709e3c92308fd7b862be409b30d,right,ok,0.397449,412,332,0.521790,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/basket/7cd32709e3c92308fd7b862be409b30d/right.png
blanket,3fa607b60ed20876b8ee335914ae0f4b,front,ok,0.068859,125,196,0.093460,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/blanket/3fa607b60ed20876b8ee335914ae0f4b/front.png
blanket,3fa607b60ed20876b8ee335914ae0f4b,left,ok,0.143337,355,250,0.338554,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/blanket/3fa607b60ed20876b8ee335914ae0f4b/left.png
blanket,3fa607b60ed20876b8ee335914ae0f4b,back,ok,0.110348,91,363,0.126011,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/blanket/3fa607b60ed20876b8ee335914ae0f4b/back.png
blanket,3fa607b60ed20876b8ee335914ae0f4b,right,ok,0.170692,341,274,0.356422,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/blanket/3fa607b60ed20876b8ee335914ae0f4b/right.png
blanket,7ba65ae6d1f003f82a5835ced4212581,front,ok,0.184254,214,389,0.317558,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/blanket/7ba65ae6d1f003f82a5835ced4212581/front.png
blanket,7ba65ae6d1f003f82a5835ced4212581,left,ok,0.277180,342,332,0.433136,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/blanket/7ba65ae6d1f003f82a5835ced4212581/left.png
