category,uid,previous_class,new_class,best_fg_ratio,best_bbox_area_ratio,best_max_dim,view_classes,diag_ratio,usd_path
book,00805f2531e4e167091fdff03d67a735,blank,ok,0.280956,0.374096,512,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/00805f2531e4e167091fdff03d67a735/usd/00805f2531e4e167091fdff03d67a735.usd
book,0111e4f533b7df61233be21742dccac3,suspicious,ok,0.306351,0.403027,512,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/0111e4f533b7df61233be21742dccac3/usd/0111e4f533b7df61233be21742dccac3.usd
pillow,009d4b0782f610abb2113cea572e73fa,suspicious,ok,0.260029,0.402870,414,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/009d4b0782f610abb2113cea572e73fa/usd/009d4b0782f610abb2113cea572e73fa.usd
pillow,02fcfbbb0de839909a94655db9da467d,suspicious,ok,0.278469,0.400085,391,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/02fcfbbb0de839909a94655db9da467d/usd/02fcfbbb0de839909a94655db9da467d.usd
cup,00272e201f3da73eaee2b70b21776cb9,suspicious,ok,0.215450,0.319580,448,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cup/00272e201f3da73eaee2b70b21776cb9/usd/00272e201f3da73eaee2b70b21776cb9.usd
cup,00d5fff2b71167d977cafe7d5e0021b9,blank,ok,0.224449,0.350475,375,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cup/00d5fff2b71167d977cafe7d5e0021b9/usd/00d5fff2b71167d977cafe7d5e0021b9.usd
toy,00663acdb1b0b8c7f3b936d845cd6aa3,suspicious,ok,0.284576,0.469971,352,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/toy/00663acdb1b0b8c7f3b936d845cd6aa3/usd/00663acdb1b0b8c7f3b936d845cd6aa3.usd
toy,0739ff6973e570ebee7b9d3dfffcf282,blank,ok,0.301971,0.388607,343,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/toy/0739ff6973e570ebee7b9d3dfffcf282/usd/0739ff6973e570ebee7b9d3dfffcf282.usd
decoration,0054d3a93ed1d6c7062928e94419e644,suspicious,ok,0.299004,0.351746,486,ok;ok;ok;ok,0.999999,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/decoration/0054d3a93ed1d6c7062928e94419e644/usd/0054d3a93ed1d6c7062928e94419e644.usd
decoration,02e59a3185704125e491323a725ffc1a,blank,ok,0.232941,0.341484,313,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/decoration/02e59a3185704125e491323a725ffc1a/usd/02e59a3185704125e491323a725ffc1a.usd
pen,04feeccef3aa4a7015be3ad2377b728d,blank,ok,0.092171,0.208172,456,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pen/04feeccef3aa4a7015be3ad2377b728d/usd/04feeccef3aa4a7015be3ad2377b728d.usd
pen,058f4f02e6ef19aa1e986e5832d6017c,suspicious,ok,0.119633,0.333710,423,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pen/058f4f02e6ef19aa1e986e5832d6017c/usd/058f4f02e6ef19aa1e986e5832d6017c.usd
plant,03416d8f060955416d7d72fe70ffb9bf,suspicious,ok,0.081310,0.336563,451,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plant/03416d8f060955416d7d72fe70ffb9bf/usd/03416d8f060955416d7d72fe70ffb9bf.usd
plant,0df252f7b3dac1fbf3634320e5ab1003,blank,ok,0.068577,0.248386,437,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plant/0df252f7b3dac1fbf3634320e5ab1003/usd/0df252f7b3dac1fbf3634320e5ab1003.usd
towel,08f111c07e5de2389d775eb72811db79,suspicious,ok,0.300381,0.396400,467,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/towel/08f111c07e5de2389d775eb72811db79/usd/08f111c07e5de2389d775eb72811db79.usd
towel,0f06cebea3ef3e1e8defce5a55789b66,blank,ok,0.297501,0.374176,453,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/towel/0f06cebea3ef3e1e8defce5a55789b66/usd/0f06cebea3ef3e1e8defce5a55789b66.usd
shoe,031e84bdaf0b567e8b61415b28988e15,blank,ok,0.168335,0.364380,398,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/shoe/031e84bdaf0b567e8b61415b28988e15/usd/031e84bdaf0b567e8b61415b28988e15.usd
shoe,09ce53771b7e9b16fe82d5074e0c96ef,blank,ok,0.148777,0.252274,406,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/shoe/09ce53771b7e9b16fe82d5074e0c96ef/usd/09ce53771b7e9b16fe82d5074e0c96ef.usd
plate,00852340ddabd56df2abe1e23b526543,blank,ok,0.272873,0.354198,367,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plate/00852340ddabd56df2abe1e23b526543/usd/00852340ddabd56df2abe1e23b526543.usd
plate,0513506f0d3cb2c15998c5e32a95dd55,suspicious,ok,0.263527,0.336365,370,ok;ok;ok;ok,1.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plate/0513506f0d3cb2c15998c5e32a95dd55/usd/0513506f0d3cb2c15998c5e32a95dd55.usd
