category,uid,view,class,fg_ratio,bbox_width,bbox_height,bbox_area_ratio,path
book,00805f2531e4e167091fdff03d67a735,front,ok,0.247112,512,147,0.287109,docs/tmp/center-offset-dataset-evaluation/center_only_sample_rerender/book/00805f2531e4e167091fdff03d67a735/front.png
book,00805f2531e4e167091fdff03d67a735,left,ok,0.280930,337,291,0.374096,docs/tmp/center-offset-dataset-evaluation/center_only_sample_rerender/book/00805f2531e4e167091fdff03d67a735/left.png
book,00805f2531e4e167091fdff03d67a735,back,ok,0.245235,508,146,0.282928,docs/tmp/center-offset-dataset-evaluation/center_only_sample_rerender/book/00805f2531e4e167091fdff03d67a735/back.png
book,00805f2531e4e167091fdff03d67a735,right,ok,0.280956,337,291,0.374096,docs/tmp/center-offset-dataset-evaluation/center_only_sample_rerender/book/00805f2531e4e167091fdff03d67a735/right.png
book,0111e4f533b7df61233be21742dccac3,front,ok,0.279449,512,165,0.322266,docs/tmp/center-offset-dataset-evaluation/center_only_sample_rerender/book/0111e4f533b7df61233be21742dccac3/front.png
book,0111e4f533b7df61233be21742dccac3,left,ok,0.305275,351,301,0.403027,docs/tmp/center-offset-dataset-evaluation/center_only_sample_rerender/book/0111e4f533b7df61233be21742dccac3/left.png
book,0111e4f533b7df61233be21742dccac3,back,ok,0.282093,512,167,0.326172,docs/tmp/center-offset-dataset-evaluation/center_only_sample_rerender/book/0111e4f533b7df61233be21742dccac3/back.png
book,0111e4f533b7df61233be21742dccac3,right,ok,0.306351,351,301,0.403027,docs/tmp/center-offset-dataset-evaluation/center_only_sample_rerender/book/0111e4f533b7df61233be21742dccac3/right.png
pillow,009d4b0782f610abb2113cea572e73fa,front,ok,0.235104,295,358,0.402870,docs/tmp/center-offset-dataset-evaluation/center_only_sample_rerender/pillow/009d4b0782f610abb2113cea572e73fa/front.png
pillow,009d4b0782f610abb2113cea572e73fa,left,ok,0.212524,229,398,0.347679,docs/tmp/center-offset-dataset-evaluation/center_only_sample_rerender/pillow/009d4b0782f610abb2113cea572e73fa/left.png
pillow,009d4b0782f610abb2113cea572e73fa,back,ok,0.260029,287,366,0.400703,docs/tmp/center-offset-dataset-evaluation/center_only_sample_rerender/pillow/009d4b0782f610abb2113cea572e73fa/back.png
pillow,009d4b0782f610abb2113cea572e73fa,right,ok,0.220016,245,414,0.386925,docs/tmp/center-offset-dataset-evaluation/center_only_sample_rerender/pillow/009d4b0782f610abb2113cea572e73fa/right.png
pillow,02fcfbbb0de839909a94655db9da467d,front,ok,0.278469,345,304,0.400085,docs/tmp/center-offset-dataset-evaluation/center_only_sample_rerender/pillow/02fcfbbb0de839909a94655db9da467d/front.png
pillow,02fcfbbb0de839909a94655db9da467d,left,ok,0.162449,192,382,0.279785,docs/tmp/center-offset-dataset-evaluation/center_only_sample_rerender/pillow/02fcfbbb0de839909a94655db9da467d/left.png
pillow,02fcfbbb0de839909a94655db9da467d,back,ok,0.242115,391,259,0.386311,docs/tmp/center-offset-dataset-evaluation/center_only_sample_rerender/pillow/02fcfbbb0de839909a94655db9da467d/back.png
pillow,02fcfbbb0de839909a94655db9da467d,right,ok,0.192097,227,390,0.337715,docs/tmp/center-offset-dataset-evaluation/center_only_sample_rerender/pillow/02fcfbbb0de839909a94655db9da467d/right.png
cup,00272e201f3da73eaee2b70b21776cb9,front,ok,0.164223,448,187,0.319580,docs/tmp/center-offset-dataset-evaluation/center_only_sample_rerender/cup/00272e201f3da73eaee2b70b21776cb9/front.png
cup,00272e201f3da73eaee2b70b21776cb9,left,ok,0.215450,218,358,0.297714,docs/tmp/center-offset-dataset-evaluation/center_only_sample_rerender/cup/00272e201f3da73eaee2b70b21776cb9/left.png
