category,uid,image_class,category_group,old_diag,new_diag,diag_ratio,center_offset_ratio,fallback_changed,rerender_recommended,scan_error,best_fg_ratio,best_bbox_area_ratio,best_max_dim,view_classes,asset_dir,usd_path
book,00805f2531e4e167091fdff03d67a735,blank,object,35.390248,35.390247,1.000000,1.931043,true,true,,0.000000,0.000000,0,blank;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/00805f2531e4e167091fdff03d67a735,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/00805f2531e4e167091fdff03d67a735/usd/00805f2531e4e167091fdff03d67a735.usd
book,0111e4f533b7df61233be21742dccac3,suspicious,object,30.348889,30.348889,1.000000,1.228433,true,true,,0.031464,0.032501,213,blank;tiny;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/0111e4f533b7df61233be21742dccac3,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/0111e4f533b7df61233be21742dccac3/usd/0111e4f533b7df61233be21742dccac3.usd
pillow,009d4b0782f610abb2113cea572e73fa,suspicious,object,58.780188,58.780189,1.000000,1.317211,true,true,,0.073711,0.117126,202,ok;ok;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/009d4b0782f610abb2113cea572e73fa,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/009d4b0782f610abb2113cea572e73fa/usd/009d4b0782f610abb2113cea572e73fa.usd
pillow,02fcfbbb0de839909a94655db9da467d,suspicious,object,87.027238,87.027237,1.000000,1.042711,true,true,,0.043213,0.070953,186,blank;ok;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/02fcfbbb0de839909a94655db9da467d,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/pillow/02fcfbbb0de839909a94655db9da467d/usd/02fcfbbb0de839909a94655db9da467d.usd
cup,00272e201f3da73eaee2b70b21776cb9,suspicious,object,21.822517,21.822517,1.000000,2.507308,true,true,,0.012367,0.024994,117,ok;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cup/00272e201f3da73eaee2b70b21776cb9,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cup/00272e201f3da73eaee2b70b21776cb9/usd/00272e201f3da73eaee2b70b21776cb9.usd
cup,00d5fff2b71167d977cafe7d5e0021b9,blank,object,23.450881,23.450881,1.000000,7.306325,true,true,,0.000000,0.000000,0,blank;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cup/00d5fff2b71167d977cafe7d5e0021b9,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cup/00d5fff2b71167d977cafe7d5e0021b9/usd/00d5fff2b71167d977cafe7d5e0021b9.usd
toy,00663acdb1b0b8c7f3b936d845cd6aa3,suspicious,object,15.029848,15.029848,1.000000,1.874416,true,true,,0.038296,0.053429,149,blank;blank;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/toy/00663acdb1b0b8c7f3b936d845cd6aa3,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/toy/00663acdb1b0b8c7f3b936d845cd6aa3/usd/00663acdb1b0b8c7f3b936d845cd6aa3.usd
toy,0739ff6973e570ebee7b9d3dfffcf282,blank,object,8.317947,8.317947,1.000000,1.384709,true,true,,0.000000,0.000000,0,blank;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/toy/0739ff6973e570ebee7b9d3dfffcf282,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/toy/0739ff6973e570ebee7b9d3dfffcf282/usd/0739ff6973e570ebee7b9d3dfffcf282.usd
decoration,0054d3a93ed1d6c7062928e94419e644,suspicious,object,24.881459,24.881478,0.999999,2.138138,true,true,,0.012238,0.014935,87,ok;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/decoration/0054d3a93ed1d6c7062928e94419e644,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/decoration/0054d3a93ed1d6c7062928e94419e644/usd/0054d3a93ed1d6c7062928e94419e644.usd
decoration,02e59a3185704125e491323a725ffc1a,blank,object,29.639938,29.639938,1.000000,4.889459,true,true,,0.000000,0.000000,0,blank;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/decoration/02e59a3185704125e491323a725ffc1a,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/decoration/02e59a3185704125e491323a725ffc1a/usd/02e59a3185704125e491323a725ffc1a.usd
