category,uid,image_class,category_group,old_diag,new_diag,diag_ratio,center_offset_ratio,fallback_changed,rerender_recommended,scan_error,best_fg_ratio,best_bbox_area_ratio,best_max_dim,view_classes,asset_dir,usd_path
basket,7cd32709e3c92308fd7b862be409b30d,suspicious,object,47.267714,47.267715,1.000000,2.049096,true,true,,0.036255,0.039494,119,blank;blank;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/basket/7cd32709e3c92308fd7b862be409b30d,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/basket/7cd32709e3c92308fd7b862be409b30d/usd/7cd32709e3c92308fd7b862be409b30d.usd
blanket,3fa607b60ed20876b8ee335914ae0f4b,suspicious,object,33.336116,33.336115,1.000000,2.182893,true,true,,0.020790,0.043579,112,blank;blank;blank;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/3fa607b60ed20876b8ee335914ae0f4b,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/3fa607b60ed20876b8ee335914ae0f4b/usd/3fa607b60ed20876b8ee335914ae0f4b.usd
blanket,7ba65ae6d1f003f82a5835ced4212581,suspicious,object,70.406603,70.406602,1.000000,1.305612,true,true,,0.061497,0.081024,180,blank;blank;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/7ba65ae6d1f003f82a5835ced4212581,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/7ba65ae6d1f003f82a5835ced4212581/usd/7ba65ae6d1f003f82a5835ced4212581.usd
book,00805f2531e4e167091fdff03d67a735,blank,object,35.390248,35.390247,1.000000,1.931043,true,true,,0.000000,0.000000,0,blank;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/00805f2531e4e167091fdff03d67a735,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/00805f2531e4e167091fdff03d67a735/usd/00805f2531e4e167091fdff03d67a735.usd
book,0111e4f533b7df61233be21742dccac3,suspicious,object,30.348889,30.348889,1.000000,1.228433,true,true,,0.031464,0.032501,213,blank;tiny;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/0111e4f533b7df61233be21742dccac3,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/0111e4f533b7df61233be21742dccac3/usd/0111e4f533b7df61233be21742dccac3.usd
book,01c1ecde24e2b22424d55cca6c26faee,suspicious,object,33.813584,33.813585,1.000000,2.263237,true,true,,0.020294,0.021427,137,ok;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/01c1ecde24e2b22424d55cca6c26faee,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/01c1ecde24e2b22424d55cca6c26faee/usd/01c1ecde24e2b22424d55cca6c26faee.usd
book,0259ea624412af7330f53dcdce5992bb,suspicious,object,30.828560,30.828561,1.000000,2.031521,true,true,,0.004200,0.004211,184,ok;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/0259ea624412af7330f53dcdce5992bb,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/0259ea624412af7330f53dcdce5992bb/usd/0259ea624412af7330f53dcdce5992bb.usd
book,028663dd7399822b6ba00d3bf6895b7b,suspicious,object,31.669318,31.669318,1.000000,3.580698,true,true,,0.009274,0.013691,97,blank;blank;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/028663dd7399822b6ba00d3bf6895b7b,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/028663dd7399822b6ba00d3bf6895b7b/usd/028663dd7399822b6ba00d3bf6895b7b.usd
book,0331b82f5db95201bbef0d71f3bba9cb,blank,object,25.143708,25.143708,1.000000,2.204561,true,true,,0.000000,0.000000,0,blank;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/0331b82f5db95201bbef0d71f3bba9cb,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/0331b82f5db95201bbef0d71f3bba9cb/usd/0331b82f5db95201bbef0d71f3bba9cb.usd
book,034dbe390f0aa861e352f01c82156d1e,suspicious,object,29.993175,29.993175,1.000000,1.773540,true,true,,0.003952,0.003986,209,blank;blank;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/034dbe390f0aa861e352f01c82156d1e,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/034dbe390f0aa861e352f01c82156d1e/usd/034dbe390f0aa861e352f01c82156d1e.usd
