category,uid,image_class,category_group,old_diag,new_diag,diag_ratio,center_offset_ratio,fallback_changed,rerender_recommended,scan_error,best_fg_ratio,best_bbox_area_ratio,best_max_dim,view_classes,asset_dir,usd_path
cabinet,0103f6d34c5852236100733a4a9a8a2f,suspicious,object,1178772626593393082468659900175517483008.000000,121.280836,9719364255951204899451301456433381376.000000,0.000000,true,true,,0.025208,0.034676,122,ok;tiny;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0103f6d34c5852236100733a4a9a8a2f,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0103f6d34c5852236100733a4a9a8a2f/usd/0103f6d34c5852236100733a4a9a8a2f.usd
cabinet,017e70823d03e5a8cda2c082e6440449,suspicious,object,1178772626593393082468659900175517483008.000000,247.192735,4768637819199796469880959410112561152.000000,0.000000,true,true,,0.019470,0.026196,109,blank;blank;tiny;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/017e70823d03e5a8cda2c082e6440449,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/017e70823d03e5a8cda2c082e6440449/usd/017e70823d03e5a8cda2c082e6440449.usd
cabinet,01832f2d9a433adec46c23492a04a66c,suspicious,object,1178772626593393082468659900175517483008.000000,260.530330,4524512078312764904015408219222441984.000000,0.000000,true,true,,0.044861,0.046585,172,blank;blank;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/01832f2d9a433adec46c23492a04a66c,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/01832f2d9a433adec46c23492a04a66c/usd/01832f2d9a433adec46c23492a04a66c.usd
cabinet,01ba00f2f4072e5e3f71cadea43edf49,suspicious,object,1178772626593393082468659900175517483008.000000,260.469862,4525562448586086622259441293972209664.000000,0.000000,true,true,,0.028008,0.034939,134,ok;ok;tiny;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/01ba00f2f4072e5e3f71cadea43edf49,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/01ba00f2f4072e5e3f71cadea43edf49/usd/01ba00f2f4072e5e3f71cadea43edf49.usd
cabinet,01fd983213e1647c02edfce9a6ea098d,suspicious,object,1178772626593393082468659900175517483008.000000,312.586377,3771030071610963881612141592596971520.000000,0.000000,true,true,,0.067795,0.075226,170,ok;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/01fd983213e1647c02edfce9a6ea098d,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/01fd983213e1647c02edfce9a6ea098d/usd/01fd983213e1647c02edfce9a6ea098d.usd
cabinet,030552c05f71248d0ec542c121a3586f,suspicious,object,1178772626593393082468659900175517483008.000000,363.698251,3241073122626176908288475845231640576.000000,0.000000,true,true,,0.071621,0.076729,191,ok;blank;blank;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/030552c05f71248d0ec542c121a3586f,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/030552c05f71248d0ec542c121a3586f/usd/030552c05f71248d0ec542c121a3586f.usd
cabinet,03084f37e155430e2768d4a8f71c41d6,suspicious,object,1178772626593393082468659900175517483008.000000,201.122022,5860982363046311583206768603073347584.000000,0.000000,true,true,,0.040417,0.056236,162,ok;ok;tiny;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/03084f37e155430e2768d4a8f71c41d6,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/03084f37e155430e2768d4a8f71c41d6/usd/03084f37e155430e2768d4a8f71c41d6.usd
cabinet,030f6923af651a0593b1556295d36e0b,suspicious,object,1178772626593393082468659900175517483008.000000,160.664969,7336836588759701419016388410666385408.000000,0.000000,true,true,,0.073055,0.076424,199,ok;ok;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/030f6923af651a0593b1556295d36e0b,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/030f6923af651a0593b1556295d36e0b/usd/030f6923af651a0593b1556295d36e0b.usd
cabinet,0351e38501c4134575e6dda441b434d9,suspicious,object,1178772626593393082468659900175517483008.000000,190.065781,6201919256004915273176016880228368384.000000,0.000000,true,true,,0.021984,0.030762,96,blank;blank;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0351e38501c4134575e6dda441b434d9,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0351e38501c4134575e6dda441b434d9/usd/0351e38501c4134575e6dda441b434d9.usd
cabinet,039c6bdd9fc8b57652b7a96f885dc484,suspicious,object,1178772626593393082468659900175517483008.000000,372.406027,3165288796806767524384003040538001408.000000,0.000000,true,true,,0.029137,0.032967,149,ok;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/039c6bdd9fc8b57652b7a96f885dc484,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/039c6bdd9fc8b57652b7a96f885dc484/usd/039c6bdd9fc8b57652b7a96f885dc484.usd
cabinet,03d89ac3714f5dbdef54fa3d7f8b2702,suspicious,object,1178772626593393082468659900175517483008.000000,210.229322,5607080008514814775736781332444872704.000000,0.000000,true,true,,0.006550,0.006592,192,blank;blank;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/03d89ac3714f5dbdef54fa3d7f8b2702,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/03d89ac3714f5dbdef54fa3d7f8b2702/usd/03d89ac3714f5dbdef54fa3d7f8b2702.usd
cabinet,042a2ad4549c90e90a91f9bc50f7b9b6,suspicious,object,1178772626593393082468659900175517483008.000000,214.114742,5505331459428152967919815687801929728.000000,0.000000,true,true,,0.019707,0.020584,142,blank;blank;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/042a2ad4549c90e90a91f9bc50f7b9b6,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/042a2ad4549c90e90a91f9bc50f7b9b6/usd/042a2ad4549c90e90a91f9bc50f7b9b6.usd
cabinet,04341ec1ca6bf336f49cad66cae7a722,suspicious,object,1178772626593393082468659900175517483008.000000,659.076516,1788521664243157928013778297403998208.000000,0.000000,true,true,,0.037762,0.063740,234,blank;blank;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/04341ec1ca6bf336f49cad66cae7a722,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/04341ec1ca6bf336f49cad66cae7a722/usd/04341ec1ca6bf336f49cad66cae7a722.usd
cabinet,0488118f0fd22625619c210a71c8d81e,suspicious,object,1178772626593393082468659900175517483008.000000,79.596421,14809367182663031529116544695604871168.000000,0.000000,true,true,,0.007980,0.011902,104,tiny;tiny;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0488118f0fd22625619c210a71c8d81e,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0488118f0fd22625619c210a71c8d81e/usd/0488118f0fd22625619c210a71c8d81e.usd
cabinet,0493d2c7a758de44c6b45d4c14801a74,suspicious,object,1178772626593393082468659900175517483008.000000,127.066556,9276812585385663179006358501978013696.000000,0.000000,true,true,,0.032681,0.038528,101,tiny;tiny;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0493d2c7a758de44c6b45d4c14801a74,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0493d2c7a758de44c6b45d4c14801a74/usd/0493d2c7a758de44c6b45d4c14801a74.usd
cabinet,051784651ce9ea0494f32068cb8a1210,suspicious,object,1178772626593393082468659900175517483008.000000,357.410118,3298095285115683051128642849027915776.000000,0.000000,true,true,,0.043640,0.074574,175,tiny;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/051784651ce9ea0494f32068cb8a1210,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/051784651ce9ea0494f32068cb8a1210/usd/051784651ce9ea0494f32068cb8a1210.usd
cabinet,0592e41b66a549d83a509305325d6d91,suspicious,object,1178772626593393082468659900175517483008.000000,133.822837,8808456425076273384244827736837718016.000000,0.000000,true,true,,0.037376,0.043659,109,tiny;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0592e41b66a549d83a509305325d6d91,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0592e41b66a549d83a509305325d6d91/usd/0592e41b66a549d83a509305325d6d91.usd
