category,scanned,recommended,center_only,diag_only,diag_and_center,not_recommended
pillow,526,243,243,0,0,283
cabinet,472,470,0,470,0,2
book,458,426,426,0,0,32
door,167,167,0,167,0,0
cup,154,134,134,0,0,20
pen,152,96,96,0,0,56
toy,125,108,108,0,0,17
decoration,111,103,103,0,0,8
plant,53,42,42,0,0,11
towel,45,37,37,0,0,8
plate,40,34,34,0,0,6
shoe,37,35,35,0,0,2
shelf,33,23,23,0,0,10
picture,25,10,10,0,0,15
box,23,23,23,0,0,0
bowl,13,13,13,0,0,0
tray,11,9,9,0,0,2
blanket,7,2,2,0,0,5
pot,6,6,6,0,0,0
faucet,5,5,5,0,0,0
table,4,4,3,1,0,0
lamp,3,3,3,0,0,0
monitor,3,3,3,0,0,0
sink,3,3,3,0,0,0
chair,2,0,0,0,0,2
clothes,2,1,1,0,0,1
curtain,2,0,0,0,0,2
pan,2,1,1,0,0,1
person,2,2,2,0,0,0
basket,1,1,1,0,0,0
clock,1,1,1,0,0,0
coffee_maker,1,1,1,0,0,0
couch,1,0,0,0,0,1
counter,1,1,1,0,0,0
stool,1,1,1,0,0,0
