category,uid,view,source_png,backup_png,rerender_png,source_sha256_before,rerender_sha256,source_size_before,rerender_size,source_asset_class_before,source_view_classes_before
basket,7cd32709e3c92308fd7b862be409b30d,front,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/basket/7cd32709e3c92308fd7b862be409b30d/front.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/overwrite_center_only_ok_2026-05-09/source_png_backup/basket/7cd32709e3c92308fd7b862be409b30d/front.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/basket/7cd32709e3c92308fd7b862be409b30d/front.png,aaea2a8407a1c306a3f634a428085db98fe4357058f9ddca6905c84e15c36005,c87e490d2de89155d39a94f7a1d01a112391efa670dd2262422305a33b83b8a8,2255,141476,suspicious,blank;blank;ok;blank
basket,7cd32709e3c92308fd7b862be409b30d,left,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/basket/7cd32709e3c92308fd7b862be409b30d/left.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/overwrite_center_only_ok_2026-05-09/source_png_backup/basket/7cd32709e3c92308fd7b862be409b30d/left.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/basket/7cd32709e3c92308fd7b862be409b30d/left.png,aaea2a8407a1c306a3f634a428085db98fe4357058f9ddca6905c84e15c36005,bfd5a830ec570141475b013bb080dd59409ffcbae8929cc00faeda40d5244c6a,2255,152755,suspicious,blank;blank;ok;blank
basket,7cd32709e3c92308fd7b862be409b30d,back,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/basket/7cd32709e3c92308fd7b862be409b30d/back.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/overwrite_center_only_ok_2026-05-09/source_png_backup/basket/7cd32709e3c92308fd7b862be409b30d/back.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/basket/7cd32709e3c92308fd7b862be409b30d/back.png,232a29eced1cbc689f3adf3e7cd411f24ad78ce2cba03efad52bc11e999c904a,e9c8eaa84f104876ec6fa1bef648bc1d250e9cf0f178273aad5b09072b970dbd,19805,127292,suspicious,blank;blank;ok;blank
basket,7cd32709e3c92308fd7b862be409b30d,right,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/basket/7cd32709e3c92308fd7b862be409b30d/right.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/overwrite_center_only_ok_2026-05-09/source_png_backup/basket/7cd32709e3c92308fd7b862be409b30d/right.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/basket/7cd32709e3c92308fd7b862be409b30d/right.png,aaea2a8407a1c306a3f634a428085db98fe4357058f9ddca6905c84e15c36005,7e31bd897db928cdb67c7c5fff999d7b2ec37bd05d4bf34466a3857b766db2a0,2255,163259,suspicious,blank;blank;ok;blank
blanket,3fa607b60ed20876b8ee335914ae0f4b,front,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/3fa607b60ed20876b8ee335914ae0f4b/front.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/overwrite_center_only_ok_2026-05-09/source_png_backup/blanket/3fa607b60ed20876b8ee335914ae0f4b/front.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/blanket/3fa607b60ed20876b8ee335914ae0f4b/front.png,aaea2a8407a1c306a3f634a428085db98fe4357058f9ddca6905c84e15c36005,4d12e49337e04f1c4aba98c60168d4c1dc2c3dc3c78b7874f058a46c86f48ce9,2255,51388,suspicious,blank;blank;blank;ok
blanket,3fa607b60ed20876b8ee335914ae0f4b,left,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/3fa607b60ed20876b8ee335914ae0f4b/left.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/overwrite_center_only_ok_2026-05-09/source_png_backup/blanket/3fa607b60ed20876b8ee335914ae0f4b/left.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/blanket/3fa607b60ed20876b8ee335914ae0f4b/left.png,aaea2a8407a1c306a3f634a428085db98fe4357058f9ddca6905c84e15c36005,13e1ad62cb7343f486767650a8c3476e94588231731a800cd8d896573f78e6f1,2255,26668,suspicious,blank;blank;blank;ok
blanket,3fa607b60ed20876b8ee335914ae0f4b,back,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/3fa607b60ed20876b8ee335914ae0f4b/back.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/overwrite_center_only_ok_2026-05-09/source_png_backup/blanket/3fa607b60ed20876b8ee335914ae0f4b/back.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/blanket/3fa607b60ed20876b8ee335914ae0f4b/back.png,aaea2a8407a1c306a3f634a428085db98fe4357058f9ddca6905c84e15c36005,648e9cd2fe7ace1e034322ed766bbc0b143d4bb67ac428c9ac97e9660e5547be,2255,48732,suspicious,blank;blank;blank;ok
blanket,3fa607b60ed20876b8ee335914ae0f4b,right,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/3fa607b60ed20876b8ee335914ae0f4b/right.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/overwrite_center_only_ok_2026-05-09/source_png_backup/blanket/3fa607b60ed20876b8ee335914ae0f4b/right.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/blanket/3fa607b60ed20876b8ee335914ae0f4b/right.png,d991b092ab181b5467997913bdfa4b2d70624fa4e022e514a35d911d56d598d6,604cd1990ca255399ac17c066d242f1a494c52566008587127db0c468f8c8d1b,11592,45492,suspicious,blank;blank;blank;ok
blanket,7ba65ae6d1f003f82a5835ced4212581,front,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/7ba65ae6d1f003f82a5835ced4212581/front.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/overwrite_center_only_ok_2026-05-09/source_png_backup/blanket/7ba65ae6d1f003f82a5835ced4212581/front.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/blanket/7ba65ae6d1f003f82a5835ced4212581/front.png,aaea2a8407a1c306a3f634a428085db98fe4357058f9ddca6905c84e15c36005,26278b91e485fed112488ae51b2d4a078ac3d2f20dd20b16bbfb6d0c03d042cf,2255,36126,suspicious,blank;blank;ok;blank
blanket,7ba65ae6d1f003f82a5835ced4212581,left,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/7ba65ae6d1f003f82a5835ced4212581/left.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/overwrite_center_only_ok_2026-05-09/source_png_backup/blanket/7ba65ae6d1f003f82a5835ced4212581/left.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/blanket/7ba65ae6d1f003f82a5835ced4212581/left.png,aaea2a8407a1c306a3f634a428085db98fe4357058f9ddca6905c84e15c36005,e11fb5a5ae44fa261bff62740f4356e8497b98ef0b0dbee6b29e9fa16fab86b0,2255,48240,suspicious,blank;blank;ok;blank
blanket,7ba65ae6d1f003f82a5835ced4212581,back,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/7ba65ae6d1f003f82a5835ced4212581/back.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/overwrite_center_only_ok_2026-05-09/source_png_backup/blanket/7ba65ae6d1f003f82a5835ced4212581/back.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/blanket/7ba65ae6d1f003f82a5835ced4212581/back.png,1cb14165420515cd608a49776e330abbcfbdc04ab74fef3da409d155686d8ff1,e8f7917b8b9568410f8d96334f00012b5b607c4f549beb082196473008bafa07,22220,55847,suspicious,blank;blank;ok;blank
blanket,7ba65ae6d1f003f82a5835ced4212581,right,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/7ba65ae6d1f003f82a5835ced4212581/right.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/overwrite_center_only_ok_2026-05-09/source_png_backup/blanket/7ba65ae6d1f003f82a5835ced4212581/right.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/blanket/7ba65ae6d1f003f82a5835ced4212581/right.png,aaea2a8407a1c306a3f634a428085db98fe4357058f9ddca6905c84e15c36005,d76603cd77972c37a4184714eaeb8cec3779a8cb67b35cd86970aad871a36d71,2255,19871,suspicious,blank;blank;ok;blank
book,00805f2531e4e167091fdff03d67a735,front,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/00805f2531e4e167091fdff03d67a735/front.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/overwrite_center_only_ok_2026-05-09/source_png_backup/book/00805f2531e4e167091fdff03d67a735/front.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/00805f2531e4e167091fdff03d67a735/front.png,aaea2a8407a1c306a3f634a428085db98fe4357058f9ddca6905c84e15c36005,1f219eb8e6e15f2c956a241005bd20d25de0f03210d743adb6bd8ac2072407c7,2255,101347,blank,blank;blank;blank;blank
book,00805f2531e4e167091fdff03d67a735,left,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/00805f2531e4e167091fdff03d67a735/left.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/overwrite_center_only_ok_2026-05-09/source_png_backup/book/00805f2531e4e167091fdff03d67a735/left.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/00805f2531e4e167091fdff03d67a735/left.png,aaea2a8407a1c306a3f634a428085db98fe4357058f9ddca6905c84e15c36005,cb9f30067cdaa5cb25228c7c7039ca534e4244d86893ae29b8ecf9e197594b54,2255,113601,blank,blank;blank;blank;blank
book,00805f2531e4e167091fdff03d67a735,back,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/00805f2531e4e167091fdff03d67a735/back.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/overwrite_center_only_ok_2026-05-09/source_png_backup/book/00805f2531e4e167091fdff03d67a735/back.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/00805f2531e4e167091fdff03d67a735/back.png,aaea2a8407a1c306a3f634a428085db98fe4357058f9ddca6905c84e15c36005,b445015621728768c9d884abd13168758c957268bea91d6cd105b12059928e9d,2255,124919,blank,blank;blank;blank;blank
book,00805f2531e4e167091fdff03d67a735,right,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/00805f2531e4e167091fdff03d67a735/right.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/overwrite_center_only_ok_2026-05-09/source_png_backup/book/00805f2531e4e167091fdff03d67a735/right.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/00805f2531e4e167091fdff03d67a735/right.png,aaea2a8407a1c306a3f634a428085db98fe4357058f9ddca6905c84e15c36005,72adc3090f7e698a3369420411c5059d22c065adb4f9ea287d3a5c5a9ad7df1e,2255,110676,blank,blank;blank;blank;blank
book,0111e4f533b7df61233be21742dccac3,front,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/0111e4f533b7df61233be21742dccac3/front.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/overwrite_center_only_ok_2026-05-09/source_png_backup/book/0111e4f533b7df61233be21742dccac3/front.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0111e4f533b7df61233be21742dccac3/front.png,aaea2a8407a1c306a3f634a428085db98fe4357058f9ddca6905c84e15c36005,2129121a0167077a3df0d865c00f7896f06ebe9897c023d91f29a34063a697af,2255,104506,suspicious,blank;tiny;ok;blank
