category,uid,view,class,fg_ratio,bbox_width,bbox_height,bbox_area_ratio,max_dim,source_sha256_after,matches_rerender_sha,source_png
basket,7cd32709e3c92308fd7b862be409b30d,front,ok,0.385933,343,361,0.472347,361,c87e490d2de89155d39a94f7a1d01a112391efa670dd2262422305a33b83b8a8,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/basket/7cd32709e3c92308fd7b862be409b30d/front.png
basket,7cd32709e3c92308fd7b862be409b30d,left,ok,0.422844,401,329,0.503269,401,bfd5a830ec570141475b013bb080dd59409ffcbae8929cc00faeda40d5244c6a,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/basket/7cd32709e3c92308fd7b862be409b30d/left.png
basket,7cd32709e3c92308fd7b862be409b30d,back,ok,0.380665,338,360,0.464172,360,e9c8eaa84f104876ec6fa1bef648bc1d250e9cf0f178273aad5b09072b970dbd,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/basket/7cd32709e3c92308fd7b862be409b30d/back.png
basket,7cd32709e3c92308fd7b862be409b30d,right,ok,0.397449,412,332,0.521790,412,7e31bd897db928cdb67c7c5fff999d7b2ec37bd05d4bf34466a3857b766db2a0,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/basket/7cd32709e3c92308fd7b862be409b30d/right.png
blanket,3fa607b60ed20876b8ee335914ae0f4b,front,ok,0.068859,125,196,0.093460,196,4d12e49337e04f1c4aba98c60168d4c1dc2c3dc3c78b7874f058a46c86f48ce9,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/3fa607b60ed20876b8ee335914ae0f4b/front.png
blanket,3fa607b60ed20876b8ee335914ae0f4b,left,ok,0.143337,355,250,0.338554,355,13e1ad62cb7343f486767650a8c3476e94588231731a800cd8d896573f78e6f1,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/3fa607b60ed20876b8ee335914ae0f4b/left.png
blanket,3fa607b60ed20876b8ee335914ae0f4b,back,ok,0.110348,91,363,0.126011,363,648e9cd2fe7ace1e034322ed766bbc0b143d4bb67ac428c9ac97e9660e5547be,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/3fa607b60ed20876b8ee335914ae0f4b/back.png
blanket,3fa607b60ed20876b8ee335914ae0f4b,right,ok,0.170692,341,274,0.356422,341,604cd1990ca255399ac17c066d242f1a494c52566008587127db0c468f8c8d1b,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/3fa607b60ed20876b8ee335914ae0f4b/right.png
blanket,7ba65ae6d1f003f82a5835ced4212581,front,ok,0.184254,214,389,0.317558,389,26278b91e485fed112488ae51b2d4a078ac3d2f20dd20b16bbfb6d0c03d042cf,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/7ba65ae6d1f003f82a5835ced4212581/front.png
blanket,7ba65ae6d1f003f82a5835ced4212581,left,ok,0.277180,342,332,0.433136,342,e11fb5a5ae44fa261bff62740f4356e8497b98ef0b0dbee6b29e9fa16fab86b0,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/7ba65ae6d1f003f82a5835ced4212581/left.png
