category,uid,class,best_fg_ratio,best_bbox_area_ratio,best_max_dim,view_classes,asset_dir,usd_path
blanket,01cfa185cce70a8f0e7b2f2a772afdad,suspicious,0.027126,0.047836,165,ok;ok;blank;tiny,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/01cfa185cce70a8f0e7b2f2a772afdad,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/01cfa185cce70a8f0e7b2f2a772afdad/usd/01cfa185cce70a8f0e7b2f2a772afdad.usd
blanket,15425b5d6cd8d57b29d0c369b649d02f,suspicious,0.081551,0.163544,233,ok;ok;tiny;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/15425b5d6cd8d57b29d0c369b649d02f,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/15425b5d6cd8d57b29d0c369b649d02f/usd/15425b5d6cd8d57b29d0c369b649d02f.usd
blanket,1eef697311272f22d1c8e93d5acd1d22,suspicious,0.028732,0.074005,194,ok;blank;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/1eef697311272f22d1c8e93d5acd1d22,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/1eef697311272f22d1c8e93d5acd1d22/usd/1eef697311272f22d1c8e93d5acd1d22.usd
blanket,4aa43bb780f40608b6f63ee1789be35e,suspicious,0.032902,0.106979,171,blank;blank;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/4aa43bb780f40608b6f63ee1789be35e,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/4aa43bb780f40608b6f63ee1789be35e/usd/4aa43bb780f40608b6f63ee1789be35e.usd
blanket,ce07e0ed27b043d97ccf18644c26a8bb,suspicious,0.035095,0.067852,174,tiny;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/ce07e0ed27b043d97ccf18644c26a8bb,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/ce07e0ed27b043d97ccf18644c26a8bb/usd/ce07e0ed27b043d97ccf18644c26a8bb.usd
book,013e321e890b4055634af9ea1834f395,suspicious,0.153240,0.174820,268,ok;ok;blank;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/013e321e890b4055634af9ea1834f395,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/013e321e890b4055634af9ea1834f395/usd/013e321e890b4055634af9ea1834f395.usd
book,0e9306661d3dd7a3b6d432b5e41b92c2,suspicious,0.112568,0.123955,232,ok;ok;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/0e9306661d3dd7a3b6d432b5e41b92c2,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/0e9306661d3dd7a3b6d432b5e41b92c2/usd/0e9306661d3dd7a3b6d432b5e41b92c2.usd
book,0eaace3c6dca5431e60660cbe29d288c,suspicious,0.224964,0.250137,338,ok;blank;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/0eaace3c6dca5431e60660cbe29d288c,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/0eaace3c6dca5431e60660cbe29d288c/usd/0eaace3c6dca5431e60660cbe29d288c.usd
book,10bd2369ce0ab94aa6be5f93223a733d,suspicious,1.000000,1.000000,512,ok;blank;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/10bd2369ce0ab94aa6be5f93223a733d,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/10bd2369ce0ab94aa6be5f93223a733d/usd/10bd2369ce0ab94aa6be5f93223a733d.usd
book,1ee325d6c89d8c4ccd94852d237fd6ca,suspicious,0.055840,0.147926,281,ok;ok;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/1ee325d6c89d8c4ccd94852d237fd6ca,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/1ee325d6c89d8c4ccd94852d237fd6ca/usd/1ee325d6c89d8c4ccd94852d237fd6ca.usd
book,2362f0ad99e0727df4bc72491507d1bb,suspicious,0.133816,0.147400,240,ok;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/2362f0ad99e0727df4bc72491507d1bb,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/2362f0ad99e0727df4bc72491507d1bb/usd/2362f0ad99e0727df4bc72491507d1bb.usd
book,257b7fb3d67e06f29d85c1185b3cf0b5,suspicious,0.052067,0.064941,266,ok;tiny;blank;tiny,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/257b7fb3d67e06f29d85c1185b3cf0b5,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/257b7fb3d67e06f29d85c1185b3cf0b5/usd/257b7fb3d67e06f29d85c1185b3cf0b5.usd
book,29a9a63b73e42376cb1c65d7bd1e22a6,suspicious,0.156967,0.174408,254,blank;blank;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/29a9a63b73e42376cb1c65d7bd1e22a6,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/29a9a63b73e42376cb1c65d7bd1e22a6/usd/29a9a63b73e42376cb1c65d7bd1e22a6.usd
book,2a772f61c078e160041890245cf703ed,suspicious,0.117908,0.120029,242,ok;ok;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/2a772f61c078e160041890245cf703ed,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/2a772f61c078e160041890245cf703ed/usd/2a772f61c078e160041890245cf703ed.usd
book,31299a20de924beac96a4035daa058f5,suspicious,0.149002,0.166550,236,ok;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/31299a20de924beac96a4035daa058f5,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/31299a20de924beac96a4035daa058f5/usd/31299a20de924beac96a4035daa058f5.usd
book,448a562bda95d7e3e8283e31ee8104f2,suspicious,0.157486,0.174820,268,ok;ok;blank;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/448a562bda95d7e3e8283e31ee8104f2,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/448a562bda95d7e3e8283e31ee8104f2/usd/448a562bda95d7e3e8283e31ee8104f2.usd
book,480cae8dd67b6ea200592afb32a5f55d,suspicious,0.146275,0.160828,248,blank;blank;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/480cae8dd67b6ea200592afb32a5f55d,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/480cae8dd67b6ea200592afb32a5f55d/usd/480cae8dd67b6ea200592afb32a5f55d.usd
book,5703097310907282bdcd49227527575f,suspicious,0.174713,0.190887,278,ok;blank;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/5703097310907282bdcd49227527575f,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/5703097310907282bdcd49227527575f/usd/5703097310907282bdcd49227527575f.usd
