category,uid,previous_class,new_class,best_fg_ratio,best_bbox_area_ratio,best_max_dim,view_classes,diag_ratio,usd_path
cabinet,0103f6d34c5852236100733a4a9a8a2f,suspicious,ok,0.398281,0.531250,512,ok;ok;ok;ok,9719364255951204899451301456433381376.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0103f6d34c5852236100733a4a9a8a2f/usd/0103f6d34c5852236100733a4a9a8a2f.usd
cabinet,017e70823d03e5a8cda2c082e6440449,suspicious,ok,0.187450,0.218964,506,ok;ok;ok;ok,4768637819199796469880959410112561152.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/017e70823d03e5a8cda2c082e6440449/usd/017e70823d03e5a8cda2c082e6440449.usd
cabinet,01832f2d9a433adec46c23492a04a66c,suspicious,ok,0.298054,0.328064,500,ok;ok;ok;ok,4524512078312764904015408219222441984.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/01832f2d9a433adec46c23492a04a66c/usd/01832f2d9a433adec46c23492a04a66c.usd
cabinet,01ba00f2f4072e5e3f71cadea43edf49,suspicious,ok,0.252453,0.308594,512,ok;ok;ok;ok,4525562448586086622259441293972209664.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/01ba00f2f4072e5e3f71cadea43edf49/usd/01ba00f2f4072e5e3f71cadea43edf49.usd
cabinet,01fd983213e1647c02edfce9a6ea098d,suspicious,ok,0.393108,0.460777,470,ok;ok;ok;ok,3771030071610963881612141592596971520.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/01fd983213e1647c02edfce9a6ea098d/usd/01fd983213e1647c02edfce9a6ea098d.usd
cabinet,030552c05f71248d0ec542c121a3586f,suspicious,ok,0.405758,0.552750,486,ok;ok;ok;ok,3241073122626176908288475845231640576.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/030552c05f71248d0ec542c121a3586f/usd/030552c05f71248d0ec542c121a3586f.usd
cabinet,03084f37e155430e2768d4a8f71c41d6,suspicious,ok,0.366936,0.482025,512,ok;ok;ok;ok,5860982363046311583206768603073347584.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/03084f37e155430e2768d4a8f71c41d6/usd/03084f37e155430e2768d4a8f71c41d6.usd
cabinet,030f6923af651a0593b1556295d36e0b,suspicious,ok,0.430145,0.501961,482,ok;ok;ok;ok,7336836588759701419016388410666385408.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/030f6923af651a0593b1556295d36e0b/usd/030f6923af651a0593b1556295d36e0b.usd
cabinet,0351e38501c4134575e6dda441b434d9,suspicious,ok,0.255497,0.298004,512,ok;ok;ok;ok,6201919256004915273176016880228368384.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0351e38501c4134575e6dda441b434d9/usd/0351e38501c4134575e6dda441b434d9.usd
cabinet,039c6bdd9fc8b57652b7a96f885dc484,suspicious,ok,0.285042,0.369232,472,ok;ok;ok;ok,3165288796806767524384003040538001408.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/039c6bdd9fc8b57652b7a96f885dc484/usd/039c6bdd9fc8b57652b7a96f885dc484.usd
cabinet,03d89ac3714f5dbdef54fa3d7f8b2702,suspicious,ok,0.033573,0.033920,468,ok;ok;ok;ok,5607080008514814775736781332444872704.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/03d89ac3714f5dbdef54fa3d7f8b2702/usd/03d89ac3714f5dbdef54fa3d7f8b2702.usd
cabinet,042a2ad4549c90e90a91f9bc50f7b9b6,suspicious,ok,0.272121,0.358887,512,ok;ok;ok;ok,5505331459428152967919815687801929728.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/042a2ad4549c90e90a91f9bc50f7b9b6/usd/042a2ad4549c90e90a91f9bc50f7b9b6.usd
cabinet,04341ec1ca6bf336f49cad66cae7a722,suspicious,ok,0.382053,0.466766,460,ok;ok;ok;ok,1788521664243157928013778297403998208.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/04341ec1ca6bf336f49cad66cae7a722/usd/04341ec1ca6bf336f49cad66cae7a722.usd
cabinet,0488118f0fd22625619c210a71c8d81e,suspicious,ok,0.270191,0.302124,480,ok;ok;ok;ok,14809367182663031529116544695604871168.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0488118f0fd22625619c210a71c8d81e/usd/0488118f0fd22625619c210a71c8d81e.usd
