category,uid,view,class,fg_ratio,bbox_width,bbox_height,bbox_area_ratio,path
cabinet,0103f6d34c5852236100733a4a9a8a2f,front,ok,0.398281,417,329,0.523350,docs/tmp/final-source-verification-2026-05-09/current_residual_bbox_rerender/cabinet/0103f6d34c5852236100733a4a9a8a2f/front.png
cabinet,0103f6d34c5852236100733a4a9a8a2f,left,ok,0.382568,490,277,0.517769,docs/tmp/final-source-verification-2026-05-09/current_residual_bbox_rerender/cabinet/0103f6d34c5852236100733a4a9a8a2f/left.png
cabinet,0103f6d34c5852236100733a4a9a8a2f,back,ok,0.398281,417,329,0.523350,docs/tmp/final-source-verification-2026-05-09/current_residual_bbox_rerender/cabinet/0103f6d34c5852236100733a4a9a8a2f/back.png
cabinet,0103f6d34c5852236100733a4a9a8a2f,right,ok,0.392456,512,272,0.531250,docs/tmp/final-source-verification-2026-05-09/current_residual_bbox_rerender/cabinet/0103f6d34c5852236100733a4a9a8a2f/right.png
cabinet,017e70823d03e5a8cda2c082e6440449,front,ok,0.187450,506,103,0.198814,docs/tmp/final-source-verification-2026-05-09/current_residual_bbox_rerender/cabinet/017e70823d03e5a8cda2c082e6440449/front.png
cabinet,017e70823d03e5a8cda2c082e6440449,left,ok,0.164074,164,350,0.218964,docs/tmp/final-source-verification-2026-05-09/current_residual_bbox_rerender/cabinet/017e70823d03e5a8cda2c082e6440449/left.png
cabinet,017e70823d03e5a8cda2c082e6440449,back,ok,0.187450,506,103,0.198814,docs/tmp/final-source-verification-2026-05-09/current_residual_bbox_rerender/cabinet/017e70823d03e5a8cda2c082e6440449/back.png
cabinet,017e70823d03e5a8cda2c082e6440449,right,ok,0.164074,164,350,0.218964,docs/tmp/final-source-verification-2026-05-09/current_residual_bbox_rerender/cabinet/017e70823d03e5a8cda2c082e6440449/right.png
cabinet,01832f2d9a433adec46c23492a04a66c,front,ok,0.298054,500,172,0.328064,docs/tmp/final-source-verification-2026-05-09/current_residual_bbox_rerender/cabinet/01832f2d9a433adec46c23492a04a66c/front.png
cabinet,01832f2d9a433adec46c23492a04a66c,left,ok,0.123573,104,407,0.161469,docs/tmp/final-source-verification-2026-05-09/current_residual_bbox_rerender/cabinet/01832f2d9a433adec46c23492a04a66c/left.png
cabinet,01832f2d9a433adec46c23492a04a66c,back,ok,0.298054,500,172,0.328064,docs/tmp/final-source-verification-2026-05-09/current_residual_bbox_rerender/cabinet/01832f2d9a433adec46c23492a04a66c/back.png
