category,uid,image_class,category_group,old_diag,new_diag,diag_ratio,center_offset_ratio,fallback_changed,rerender_recommended,scan_error,best_fg_ratio,best_bbox_area_ratio,best_max_dim,view_classes,asset_dir,usd_path
blanket,01cfa185cce70a8f0e7b2f2a772afdad,suspicious,object,152.617963,152.617963,1.000000,0.000000,false,false,,0.027126,0.047836,165,ok;ok;blank;tiny,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/01cfa185cce70a8f0e7b2f2a772afdad,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/01cfa185cce70a8f0e7b2f2a772afdad/usd/01cfa185cce70a8f0e7b2f2a772afdad.usd
blanket,15425b5d6cd8d57b29d0c369b649d02f,suspicious,object,147.746280,147.746280,1.000000,0.000000,false,false,,0.081551,0.163544,233,ok;ok;tiny;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/15425b5d6cd8d57b29d0c369b649d02f,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/15425b5d6cd8d57b29d0c369b649d02f/usd/15425b5d6cd8d57b29d0c369b649d02f.usd
blanket,1eef697311272f22d1c8e93d5acd1d22,suspicious,object,116.670309,116.670309,1.000000,0.000000,false,false,,0.028732,0.074005,194,ok;blank;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/1eef697311272f22d1c8e93d5acd1d22,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/1eef697311272f22d1c8e93d5acd1d22/usd/1eef697311272f22d1c8e93d5acd1d22.usd
blanket,4aa43bb780f40608b6f63ee1789be35e,suspicious,object,108.094460,108.094460,1.000000,0.000000,false,false,,0.032902,0.106979,171,blank;blank;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/4aa43bb780f40608b6f63ee1789be35e,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/4aa43bb780f40608b6f63ee1789be35e/usd/4aa43bb780f40608b6f63ee1789be35e.usd
blanket,ce07e0ed27b043d97ccf18644c26a8bb,suspicious,object,118.759736,118.759736,1.000000,0.000000,false,false,,0.035095,0.067852,174,tiny;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/ce07e0ed27b043d97ccf18644c26a8bb,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/ce07e0ed27b043d97ccf18644c26a8bb/usd/ce07e0ed27b043d97ccf18644c26a8bb.usd
book,013e321e890b4055634af9ea1834f395,suspicious,object,39.332938,39.332938,1.000000,0.000000,false,false,,0.153240,0.174820,268,ok;ok;blank;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/013e321e890b4055634af9ea1834f395,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/013e321e890b4055634af9ea1834f395/usd/013e321e890b4055634af9ea1834f395.usd
book,0e9306661d3dd7a3b6d432b5e41b92c2,suspicious,object,31.932107,31.932107,1.000000,0.000000,false,false,,0.112568,0.123955,232,ok;ok;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/0e9306661d3dd7a3b6d432b5e41b92c2,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/0e9306661d3dd7a3b6d432b5e41b92c2/usd/0e9306661d3dd7a3b6d432b5e41b92c2.usd
book,0eaace3c6dca5431e60660cbe29d288c,suspicious,object,30.348875,30.348875,1.000000,0.000000,false,false,,0.224964,0.250137,338,ok;blank;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/0eaace3c6dca5431e60660cbe29d288c,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/0eaace3c6dca5431e60660cbe29d288c/usd/0eaace3c6dca5431e60660cbe29d288c.usd
book,10bd2369ce0ab94aa6be5f93223a733d,suspicious,object,32.210379,32.210379,1.000000,0.000000,false,false,,1.000000,1.000000,512,ok;blank;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/10bd2369ce0ab94aa6be5f93223a733d,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/10bd2369ce0ab94aa6be5f93223a733d/usd/10bd2369ce0ab94aa6be5f93223a733d.usd
book,1ee325d6c89d8c4ccd94852d237fd6ca,suspicious,object,15.939550,15.939550,1.000000,0.000000,false,false,,0.055840,0.147926,281,ok;ok;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/1ee325d6c89d8c4ccd94852d237fd6ca,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/1ee325d6c89d8c4ccd94852d237fd6ca/usd/1ee325d6c89d8c4ccd94852d237fd6ca.usd
