category,uid,historical_class,current_class,current_best_fg_ratio,current_best_bbox_area_ratio,current_best_max_dim,current_view_classes,asset_dir,usd_path
basket,040600389fdab577a5376c28e6c5eb15,tiny,ok,0.350117,0.486164,404,ok;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/basket/040600389fdab577a5376c28e6c5eb15,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/basket/040600389fdab577a5376c28e6c5eb15/usd/040600389fdab577a5376c28e6c5eb15.usd
basket,2937c874679ed3290a30181d9919f3e8,tiny,ok,0.331360,0.461372,421,ok;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/basket/2937c874679ed3290a30181d9919f3e8,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/basket/2937c874679ed3290a30181d9919f3e8/usd/2937c874679ed3290a30181d9919f3e8.usd
basket,3dc92f250b989f721c5fc628235750ff,tiny,ok,0.404903,0.508530,483,ok;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/basket/3dc92f250b989f721c5fc628235750ff,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/basket/3dc92f250b989f721c5fc628235750ff/usd/3dc92f250b989f721c5fc628235750ff.usd
basket,6ae01f7e1ba19fc58a6f9d0b1102c3d1,blank,ok,0.314690,0.438728,434,ok;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/basket/6ae01f7e1ba19fc58a6f9d0b1102c3d1,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/basket/6ae01f7e1ba19fc58a6f9d0b1102c3d1/usd/6ae01f7e1ba19fc58a6f9d0b1102c3d1.usd
basket,7cd32709e3c92308fd7b862be409b30d,suspicious,ok,0.422844,0.521790,412,ok;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/basket/7cd32709e3c92308fd7b862be409b30d,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/basket/7cd32709e3c92308fd7b862be409b30d/usd/7cd32709e3c92308fd7b862be409b30d.usd
basket,8438bcb5ea63d993807c417e709a2b11,tiny,ok,0.292603,0.443756,393,ok;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/basket/8438bcb5ea63d993807c417e709a2b11,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/basket/8438bcb5ea63d993807c417e709a2b11/usd/8438bcb5ea63d993807c417e709a2b11.usd
basket,8ae61cea6988dfe0ab73982f076c468c,tiny,ok,0.361298,0.495415,481,ok;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/basket/8ae61cea6988dfe0ab73982f076c468c,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/basket/8ae61cea6988dfe0ab73982f076c468c/usd/8ae61cea6988dfe0ab73982f076c468c.usd
basket,a953b91fd9d889217708cbe68a38b691,tiny,ok,0.359962,0.477905,421,ok;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/basket/a953b91fd9d889217708cbe68a38b691,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/basket/a953b91fd9d889217708cbe68a38b691/usd/a953b91fd9d889217708cbe68a38b691.usd
blanket,01cfa185cce70a8f0e7b2f2a772afdad,suspicious,suspicious,0.027126,0.047836,165,ok;ok;blank;tiny,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/01cfa185cce70a8f0e7b2f2a772afdad,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/01cfa185cce70a8f0e7b2f2a772afdad/usd/01cfa185cce70a8f0e7b2f2a772afdad.usd
blanket,15425b5d6cd8d57b29d0c369b649d02f,suspicious,suspicious,0.081551,0.163544,233,ok;ok;tiny;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/15425b5d6cd8d57b29d0c369b649d02f,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/15425b5d6cd8d57b29d0c369b649d02f/usd/15425b5d6cd8d57b29d0c369b649d02f.usd
blanket,1eef697311272f22d1c8e93d5acd1d22,suspicious,suspicious,0.028732,0.074005,194,ok;blank;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/1eef697311272f22d1c8e93d5acd1d22,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/1eef697311272f22d1c8e93d5acd1d22/usd/1eef697311272f22d1c8e93d5acd1d22.usd
blanket,3fa607b60ed20876b8ee335914ae0f4b,suspicious,ok,0.170692,0.356422,363,ok;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/3fa607b60ed20876b8ee335914ae0f4b,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/3fa607b60ed20876b8ee335914ae0f4b/usd/3fa607b60ed20876b8ee335914ae0f4b.usd
blanket,4aa43bb780f40608b6f63ee1789be35e,suspicious,suspicious,0.032902,0.106979,171,blank;blank;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/4aa43bb780f40608b6f63ee1789be35e,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/4aa43bb780f40608b6f63ee1789be35e/usd/4aa43bb780f40608b6f63ee1789be35e.usd
blanket,7ba65ae6d1f003f82a5835ced4212581,suspicious,ok,0.312077,0.436707,389,ok;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/7ba65ae6d1f003f82a5835ced4212581,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/7ba65ae6d1f003f82a5835ced4212581/usd/7ba65ae6d1f003f82a5835ced4212581.usd
blanket,ce07e0ed27b043d97ccf18644c26a8bb,suspicious,suspicious,0.035095,0.067852,174,tiny;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/ce07e0ed27b043d97ccf18644c26a8bb,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/blanket/ce07e0ed27b043d97ccf18644c26a8bb/usd/ce07e0ed27b043d97ccf18644c26a8bb.usd
book,00805f2531e4e167091fdff03d67a735,blank,ok,0.280956,0.374096,512,ok;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/00805f2531e4e167091fdff03d67a735,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/00805f2531e4e167091fdff03d67a735/usd/00805f2531e4e167091fdff03d67a735.usd
book,0111e4f533b7df61233be21742dccac3,suspicious,ok,0.306351,0.403027,512,ok;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/0111e4f533b7df61233be21742dccac3,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/0111e4f533b7df61233be21742dccac3/usd/0111e4f533b7df61233be21742dccac3.usd
book,013e321e890b4055634af9ea1834f395,suspicious,suspicious,0.153240,0.174820,268,ok;ok;blank;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/013e321e890b4055634af9ea1834f395,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/013e321e890b4055634af9ea1834f395/usd/013e321e890b4055634af9ea1834f395.usd
book,01c1ecde24e2b22424d55cca6c26faee,suspicious,ok,0.269863,0.363811,510,ok;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/01c1ecde24e2b22424d55cca6c26faee,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/01c1ecde24e2b22424d55cca6c26faee/usd/01c1ecde24e2b22424d55cca6c26faee.usd
book,0259ea624412af7330f53dcdce5992bb,suspicious,ok,0.291676,0.385521,512,ok;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/0259ea624412af7330f53dcdce5992bb,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/0259ea624412af7330f53dcdce5992bb/usd/0259ea624412af7330f53dcdce5992bb.usd
book,028663dd7399822b6ba00d3bf6895b7b,suspicious,ok,0.327656,0.422516,499,ok;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/028663dd7399822b6ba00d3bf6895b7b,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/028663dd7399822b6ba00d3bf6895b7b/usd/028663dd7399822b6ba00d3bf6895b7b.usd
book,0331b82f5db95201bbef0d71f3bba9cb,blank,ok,0.321659,0.405258,468,ok;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/0331b82f5db95201bbef0d71f3bba9cb,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/0331b82f5db95201bbef0d71f3bba9cb/usd/0331b82f5db95201bbef0d71f3bba9cb.usd
book,034dbe390f0aa861e352f01c82156d1e,suspicious,ok,0.299473,0.395737,512,ok;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/034dbe390f0aa861e352f01c82156d1e,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/book/034dbe390f0aa861e352f01c82156d1e/usd/034dbe390f0aa861e352f01c82156d1e.usd
