category,uid,view,source_png,backup_png,rerender_png,source_sha256_before,rerender_sha256,source_size_before,rerender_size,source_asset_class_before,source_view_classes_before
cabinet,0103f6d34c5852236100733a4a9a8a2f,front,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0103f6d34c5852236100733a4a9a8a2f/front.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/final-source-verification-2026-05-09/overwrite_current_residual_ok_2026-05-10/source_png_backup/cabinet/0103f6d34c5852236100733a4a9a8a2f/front.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/final-source-verification-2026-05-09/current_residual_bbox_rerender/cabinet/0103f6d34c5852236100733a4a9a8a2f/front.png,9346f751d90fd1606e40769164fa74b9e708bb4cf8c5101f3d6f4be196e4b30b,a1bae5c0161deab14c4c70dacf40cde203da4f15823c2baa1ae9b92eb48054eb,9641,32836,suspicious,ok;tiny;ok;ok
cabinet,0103f6d34c5852236100733a4a9a8a2f,left,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0103f6d34c5852236100733a4a9a8a2f/left.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/final-source-verification-2026-05-09/overwrite_current_residual_ok_2026-05-10/source_png_backup/cabinet/0103f6d34c5852236100733a4a9a8a2f/left.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/final-source-verification-2026-05-09/current_residual_bbox_rerender/cabinet/0103f6d34c5852236100733a4a9a8a2f/left.png,78a2c9b2f9fd5b1ccfeed5e0bab64ebf025704f04069f7f4364c5732560f2fd4,a2f831e3427dcb40b19d05245181a7bf6ff07a84c96d55c52d4fd02b097cf3a7,7671,61314,suspicious,ok;tiny;ok;ok
cabinet,0103f6d34c5852236100733a4a9a8a2f,back,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0103f6d34c5852236100733a4a9a8a2f/back.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/final-source-verification-2026-05-09/overwrite_current_residual_ok_2026-05-10/source_png_backup/cabinet/0103f6d34c5852236100733a4a9a8a2f/back.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/final-source-verification-2026-05-09/current_residual_bbox_rerender/cabinet/0103f6d34c5852236100733a4a9a8a2f/back.png,c493a8f846686ea38aa581eddc33a403576f0b18fb752214112283c28eefdf02,273e176daa61226eacba92fcac5daea11178028854b07c1c087be3bf2a15dbdc,7366,27114,suspicious,ok;tiny;ok;ok
cabinet,0103f6d34c5852236100733a4a9a8a2f,right,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0103f6d34c5852236100733a4a9a8a2f/right.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/final-source-verification-2026-05-09/overwrite_current_residual_ok_2026-05-10/source_png_backup/cabinet/0103f6d34c5852236100733a4a9a8a2f/right.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/final-source-verification-2026-05-09/current_residual_bbox_rerender/cabinet/0103f6d34c5852236100733a4a9a8a2f/right.png,ad2a2992cf7e816aeb96fb2850cadf07fa4e4a9200152c34456899bd9fe233a4,825c375cf020c40c5a892a545049e52bbb94177f021a99fc86e5c9304efac375,11433,74184,suspicious,ok;tiny;ok;ok
cabinet,017e70823d03e5a8cda2c082e6440449,front,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/017e70823d03e5a8cda2c082e6440449/front.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/final-source-verification-2026-05-09/overwrite_current_residual_ok_2026-05-10/source_png_backup/cabinet/017e70823d03e5a8cda2c082e6440449/front.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/final-source-verification-2026-05-09/current_residual_bbox_rerender/cabinet/017e70823d03e5a8cda2c082e6440449/front.png,aaea2a8407a1c306a3f634a428085db98fe4357058f9ddca6905c84e15c36005,f567f2006d6856d23b45746a20d09dd2f0e8a8034a8b59fe4778910a60980997,2255,18087,suspicious,blank;blank;tiny;ok
cabinet,017e70823d03e5a8cda2c082e6440449,left,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/017e70823d03e5a8cda2c082e6440449/left.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/final-source-verification-2026-05-09/overwrite_current_residual_ok_2026-05-10/source_png_backup/cabinet/017e70823d03e5a8cda2c082e6440449/left.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/final-source-verification-2026-05-09/current_residual_bbox_rerender/cabinet/017e70823d03e5a8cda2c082e6440449/left.png,aaea2a8407a1c306a3f634a428085db98fe4357058f9ddca6905c84e15c36005,7de2ee1e7f5a70335d257cc26daf7c36d522275b04237b3319e0030d5407a334,2255,18077,suspicious,blank;blank;tiny;ok
cabinet,017e70823d03e5a8cda2c082e6440449,back,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/017e70823d03e5a8cda2c082e6440449/back.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/final-source-verification-2026-05-09/overwrite_current_residual_ok_2026-05-10/source_png_backup/cabinet/017e70823d03e5a8cda2c082e6440449/back.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/final-source-verification-2026-05-09/current_residual_bbox_rerender/cabinet/017e70823d03e5a8cda2c082e6440449/back.png,250f8a386f415ad35cf42a962073535190579dc204767dbcba6c5a82fcf65739,4ffc8ccd6fa6c939d6e40c7e72da37e3d41015662b3e5b09bfdc8f0a2ba31b59,3395,14923,suspicious,blank;blank;tiny;ok
cabinet,017e70823d03e5a8cda2c082e6440449,right,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/017e70823d03e5a8cda2c082e6440449/right.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/final-source-verification-2026-05-09/overwrite_current_residual_ok_2026-05-10/source_png_backup/cabinet/017e70823d03e5a8cda2c082e6440449/right.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/final-source-verification-2026-05-09/current_residual_bbox_rerender/cabinet/017e70823d03e5a8cda2c082e6440449/right.png,ec422bc64febc1876bb227f17f8a9d642fc5d4e3f3c0ac5f0b108524eb9b376b,8e679b2972ca9b0e39b44fecd5d9f605530fb0819f3d80da923affdd3390b5b4,9125,22974,suspicious,blank;blank;tiny;ok
cabinet,01832f2d9a433adec46c23492a04a66c,front,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/01832f2d9a433adec46c23492a04a66c/front.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/final-source-verification-2026-05-09/overwrite_current_residual_ok_2026-05-10/source_png_backup/cabinet/01832f2d9a433adec46c23492a04a66c/front.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/final-source-verification-2026-05-09/current_residual_bbox_rerender/cabinet/01832f2d9a433adec46c23492a04a66c/front.png,aaea2a8407a1c306a3f634a428085db98fe4357058f9ddca6905c84e15c36005,84a31ba6565d88c00f3deb0b9d4c0f0990dcfe4614b4112028ea7a777ab98a4c,2255,92889,suspicious,blank;blank;ok;blank
cabinet,01832f2d9a433adec46c23492a04a66c,left,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/01832f2d9a433adec46c23492a04a66c/left.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/final-source-verification-2026-05-09/overwrite_current_residual_ok_2026-05-10/source_png_backup/cabinet/01832f2d9a433adec46c23492a04a66c/left.png,/cpfs/shared/simulation/zhuzihou/dev/render-usd/docs/tmp/final-source-verification-2026-05-09/current_residual_bbox_rerender/cabinet/01832f2d9a433adec46c23492a04a66c/left.png,aaea2a8407a1c306a3f634a428085db98fe4357058f9ddca6905c84e15c36005,3f36603b10c754e89584ecab0019a932eebecc2b52ccd8563222103b1125f524,2255,18709,suspicious,blank;blank;ok;blank
