category,uid,view,class,fg_ratio,bbox_width,bbox_height,bbox_area_ratio,max_dim,source_sha256_after,matches_rerender_sha,source_png
cabinet,0103f6d34c5852236100733a4a9a8a2f,front,ok,0.398281,417,329,0.523350,417,a1bae5c0161deab14c4c70dacf40cde203da4f15823c2baa1ae9b92eb48054eb,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0103f6d34c5852236100733a4a9a8a2f/front.png
cabinet,0103f6d34c5852236100733a4a9a8a2f,left,ok,0.382568,490,277,0.517769,490,a2f831e3427dcb40b19d05245181a7bf6ff07a84c96d55c52d4fd02b097cf3a7,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0103f6d34c5852236100733a4a9a8a2f/left.png
cabinet,0103f6d34c5852236100733a4a9a8a2f,back,ok,0.398281,417,329,0.523350,417,273e176daa61226eacba92fcac5daea11178028854b07c1c087be3bf2a15dbdc,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0103f6d34c5852236100733a4a9a8a2f/back.png
cabinet,0103f6d34c5852236100733a4a9a8a2f,right,ok,0.392456,512,272,0.531250,512,825c375cf020c40c5a892a545049e52bbb94177f021a99fc86e5c9304efac375,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0103f6d34c5852236100733a4a9a8a2f/right.png
cabinet,017e70823d03e5a8cda2c082e6440449,front,ok,0.187450,506,103,0.198814,506,f567f2006d6856d23b45746a20d09dd2f0e8a8034a8b59fe4778910a60980997,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/017e70823d03e5a8cda2c082e6440449/front.png
cabinet,017e70823d03e5a8cda2c082e6440449,left,ok,0.164074,164,350,0.218964,350,7de2ee1e7f5a70335d257cc26daf7c36d522275b04237b3319e0030d5407a334,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/017e70823d03e5a8cda2c082e6440449/left.png
cabinet,017e70823d03e5a8cda2c082e6440449,back,ok,0.187450,506,103,0.198814,506,4ffc8ccd6fa6c939d6e40c7e72da37e3d41015662b3e5b09bfdc8f0a2ba31b59,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/017e70823d03e5a8cda2c082e6440449/back.png
cabinet,017e70823d03e5a8cda2c082e6440449,right,ok,0.164074,164,350,0.218964,350,8e679b2972ca9b0e39b44fecd5d9f605530fb0819f3d80da923affdd3390b5b4,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/017e70823d03e5a8cda2c082e6440449/right.png
cabinet,01832f2d9a433adec46c23492a04a66c,front,ok,0.298054,500,172,0.328064,500,84a31ba6565d88c00f3deb0b9d4c0f0990dcfe4614b4112028ea7a777ab98a4c,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/01832f2d9a433adec46c23492a04a66c/front.png
cabinet,01832f2d9a433adec46c23492a04a66c,left,ok,0.123573,104,407,0.161469,407,3f36603b10c754e89584ecab0019a932eebecc2b52ccd8563222103b1125f524,true,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/01832f2d9a433adec46c23492a04a66c/left.png
