label,category,uid,view,class,fg_ratio,bbox_width,bbox_height,bbox_area_ratio,touches_edge,path
scale050_elev35,cabinet,05b603614a4ff2f04bfa544a2d85a0bd,front,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders/scale050_elev35/cabinet/05b603614a4ff2f04bfa544a2d85a0bd/front.png
scale050_elev35,cabinet,05b603614a4ff2f04bfa544a2d85a0bd,left,ok,0.005066,17,87,0.005642,False,docs/tmp/remaining-cabinet-door-investigation/renders/scale050_elev35/cabinet/05b603614a4ff2f04bfa544a2d85a0bd/left.png
scale050_elev35,cabinet,05b603614a4ff2f04bfa544a2d85a0bd,back,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders/scale050_elev35/cabinet/05b603614a4ff2f04bfa544a2d85a0bd/back.png
scale050_elev35,cabinet,05b603614a4ff2f04bfa544a2d85a0bd,right,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders/scale050_elev35/cabinet/05b603614a4ff2f04bfa544a2d85a0bd/right.png
scale050_elev35,cabinet,06ba887f18c9cd0fdc34bd23e2c31de2,front,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders/scale050_elev35/cabinet/06ba887f18c9cd0fdc34bd23e2c31de2/front.png
scale050_elev35,cabinet,06ba887f18c9cd0fdc34bd23e2c31de2,left,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders/scale050_elev35/cabinet/06ba887f18c9cd0fdc34bd23e2c31de2/left.png
scale050_elev35,cabinet,06ba887f18c9cd0fdc34bd23e2c31de2,back,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders/scale050_elev35/cabinet/06ba887f18c9cd0fdc34bd23e2c31de2/back.png
scale050_elev35,cabinet,06ba887f18c9cd0fdc34bd23e2c31de2,right,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders/scale050_elev35/cabinet/06ba887f18c9cd0fdc34bd23e2c31de2/right.png
scale050_elev35,cabinet,0968a1c333825e9d2f912db1d353b0e8,front,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders/scale050_elev35/cabinet/0968a1c333825e9d2f912db1d353b0e8/front.png
scale050_elev35,cabinet,0968a1c333825e9d2f912db1d353b0e8,left,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders/scale050_elev35/cabinet/0968a1c333825e9d2f912db1d353b0e8/left.png
scale050_elev35,cabinet,0968a1c333825e9d2f912db1d353b0e8,back,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders/scale050_elev35/cabinet/0968a1c333825e9d2f912db1d353b0e8/back.png
scale050_elev35,cabinet,0968a1c333825e9d2f912db1d353b0e8,right,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders/scale050_elev35/cabinet/0968a1c333825e9d2f912db1d353b0e8/right.png
scale050_elev35,cabinet,1347473d7fe8c041e902558d24c9e375,front,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders/scale050_elev35/cabinet/1347473d7fe8c041e902558d24c9e375/front.png
scale050_elev35,cabinet,1347473d7fe8c041e902558d24c9e375,left,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders/scale050_elev35/cabinet/1347473d7fe8c041e902558d24c9e375/left.png
scale050_elev35,cabinet,1347473d7fe8c041e902558d24c9e375,back,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders/scale050_elev35/cabinet/1347473d7fe8c041e902558d24c9e375/back.png
scale050_elev35,cabinet,1347473d7fe8c041e902558d24c9e375,right,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders/scale050_elev35/cabinet/1347473d7fe8c041e902558d24c9e375/right.png
scale050_elev35,cabinet,0474a4456e49f2db47f397f00a03b5ca,front,ok,0.324265,230,512,0.449219,True,docs/tmp/remaining-cabinet-door-investigation/renders/scale050_elev35/cabinet/0474a4456e49f2db47f397f00a03b5ca/front.png
scale050_elev35,cabinet,0474a4456e49f2db47f397f00a03b5ca,left,ok,0.894051,512,466,0.910156,True,docs/tmp/remaining-cabinet-door-investigation/renders/scale050_elev35/cabinet/0474a4456e49f2db47f397f00a03b5ca/left.png
scale050_elev35,cabinet,0474a4456e49f2db47f397f00a03b5ca,back,ok,0.289623,205,512,0.400391,True,docs/tmp/remaining-cabinet-door-investigation/renders/scale050_elev35/cabinet/0474a4456e49f2db47f397f00a03b5ca/back.png
scale050_elev35,cabinet,0474a4456e49f2db47f397f00a03b5ca,right,ok,0.893791,512,466,0.910156,True,docs/tmp/remaining-cabinet-door-investigation/renders/scale050_elev35/cabinet/0474a4456e49f2db47f397f00a03b5ca/right.png
scale050_elev35,door,1f614c5e84cf7ab87a1fc0d1bcf00f40,front,tiny,0.001362,19,32,0.002319,True,docs/tmp/remaining-cabinet-door-investigation/renders/scale050_elev35/door/1f614c5e84cf7ab87a1fc0d1bcf00f40/front.png
scale050_elev35,door,1f614c5e84cf7ab87a1fc0d1bcf00f40,left,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders/scale050_elev35/door/1f614c5e84cf7ab87a1fc0d1bcf00f40/left.png
scale050_elev35,door,1f614c5e84cf7ab87a1fc0d1bcf00f40,back,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders/scale050_elev35/door/1f614c5e84cf7ab87a1fc0d1bcf00f40/back.png
scale050_elev35,door,1f614c5e84cf7ab87a1fc0d1bcf00f40,right,tiny,0.003506,34,43,0.005577,True,docs/tmp/remaining-cabinet-door-investigation/renders/scale050_elev35/door/1f614c5e84cf7ab87a1fc0d1bcf00f40/right.png
scale050_elev35,door,b16b5205214f15c42aed50b3a329326e,front,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders/scale050_elev35/door/b16b5205214f15c42aed50b3a329326e/front.png
scale050_elev35,door,b16b5205214f15c42aed50b3a329326e,left,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders/scale050_elev35/door/b16b5205214f15c42aed50b3a329326e/left.png
scale050_elev35,door,b16b5205214f15c42aed50b3a329326e,back,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders/scale050_elev35/door/b16b5205214f15c42aed50b3a329326e/back.png
scale050_elev35,door,b16b5205214f15c42aed50b3a329326e,right,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders/scale050_elev35/door/b16b5205214f15c42aed50b3a329326e/right.png
