label,category,uid,previous_class,new_class,best_fg_ratio,best_bbox_area_ratio,best_max_dim,edge_touch_count,view_classes,usd_path
az045_scale100_elev35_84,cabinet,05b603614a4ff2f04bfa544a2d85a0bd,tiny,tiny,0.002571,0.010548,79,0,tiny;tiny;tiny;tiny,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/05b603614a4ff2f04bfa544a2d85a0bd/usd/05b603614a4ff2f04bfa544a2d85a0bd.usd
az045_scale100_elev35_84,cabinet,06ba887f18c9cd0fdc34bd23e2c31de2,tiny,suspicious,0.007530,0.016731,129,0,blank;blank;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/06ba887f18c9cd0fdc34bd23e2c31de2/usd/06ba887f18c9cd0fdc34bd23e2c31de2.usd
az045_scale100_elev35_84,cabinet,0968a1c333825e9d2f912db1d353b0e8,blank,blank,0.000000,0.000000,0,0,blank;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0968a1c333825e9d2f912db1d353b0e8/usd/0968a1c333825e9d2f912db1d353b0e8.usd
az045_scale100_elev35_84,cabinet,0b558ffc6d640331607c4eeca7e99fb6,tiny,tiny,0.008404,0.012207,80,1,blank;blank;tiny;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0b558ffc6d640331607c4eeca7e99fb6/usd/0b558ffc6d640331607c4eeca7e99fb6.usd
az045_scale100_elev35_84,cabinet,0dd113faaefaf20150c364db6c094d46,tiny,tiny,0.011940,0.016663,78,0,tiny;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0dd113faaefaf20150c364db6c094d46/usd/0dd113faaefaf20150c364db6c094d46.usd
az045_scale100_elev35_84,cabinet,123f6a89cd741c984dc5030f1c7ca2a3,tiny,blank,0.000000,0.000000,0,0,blank;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/123f6a89cd741c984dc5030f1c7ca2a3/usd/123f6a89cd741c984dc5030f1c7ca2a3.usd
az045_scale100_elev35_84,cabinet,1347473d7fe8c041e902558d24c9e375,blank,blank,0.000984,0.001373,24,0,blank;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/1347473d7fe8c041e902558d24c9e375/usd/1347473d7fe8c041e902558d24c9e375.usd
az045_scale100_elev35_84,cabinet,152f5172416f7db261631d902d48e910,tiny,suspicious,0.007629,0.014248,83,0,ok;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/152f5172416f7db261631d902d48e910/usd/152f5172416f7db261631d902d48e910.usd
az045_scale100_elev35_84,cabinet,1a90eabdd92d987169fdd8e83b63c939,blank,tiny,0.007713,0.009308,61,0,blank;blank;tiny;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/1a90eabdd92d987169fdd8e83b63c939/usd/1a90eabdd92d987169fdd8e83b63c939.usd
az045_scale100_elev35_84,cabinet,1e4fec39fe2640c5567413a407c0550a,tiny,tiny,0.002522,0.010712,78,0,tiny;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/1e4fec39fe2640c5567413a407c0550a/usd/1e4fec39fe2640c5567413a407c0550a.usd
az045_scale100_elev35_84,cabinet,1f920706d855b66a9423f8bf95c65ebd,tiny,suspicious,0.014244,0.017120,88,0,ok;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/1f920706d855b66a9423f8bf95c65ebd/usd/1f920706d855b66a9423f8bf95c65ebd.usd
az045_scale100_elev35_84,cabinet,221e842ce1e790bddf5af9d9e29dbeec,tiny,tiny,0.002148,0.010117,78,0,tiny;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/221e842ce1e790bddf5af9d9e29dbeec/usd/221e842ce1e790bddf5af9d9e29dbeec.usd
