label,category,uid,view,class,fg_ratio,bbox_width,bbox_height,bbox_area_ratio,touches_edge,path
az045_scale100_elev35_84,cabinet,05b603614a4ff2f04bfa544a2d85a0bd,front,tiny,0.002571,21,63,0.005047,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/05b603614a4ff2f04bfa544a2d85a0bd/front.png
az045_scale100_elev35_84,cabinet,05b603614a4ff2f04bfa544a2d85a0bd,left,tiny,0.002365,18,62,0.004257,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/05b603614a4ff2f04bfa544a2d85a0bd/left.png
az045_scale100_elev35_84,cabinet,05b603614a4ff2f04bfa544a2d85a0bd,back,tiny,0.002132,35,78,0.010414,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/05b603614a4ff2f04bfa544a2d85a0bd/back.png
az045_scale100_elev35_84,cabinet,05b603614a4ff2f04bfa544a2d85a0bd,right,tiny,0.002304,35,79,0.010548,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/05b603614a4ff2f04bfa544a2d85a0bd/right.png
az045_scale100_elev35_84,cabinet,06ba887f18c9cd0fdc34bd23e2c31de2,front,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/06ba887f18c9cd0fdc34bd23e2c31de2/front.png
az045_scale100_elev35_84,cabinet,06ba887f18c9cd0fdc34bd23e2c31de2,left,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/06ba887f18c9cd0fdc34bd23e2c31de2/left.png
az045_scale100_elev35_84,cabinet,06ba887f18c9cd0fdc34bd23e2c31de2,back,ok,0.007530,129,34,0.016731,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/06ba887f18c9cd0fdc34bd23e2c31de2/back.png
az045_scale100_elev35_84,cabinet,06ba887f18c9cd0fdc34bd23e2c31de2,right,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/06ba887f18c9cd0fdc34bd23e2c31de2/right.png
az045_scale100_elev35_84,cabinet,0968a1c333825e9d2f912db1d353b0e8,front,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/0968a1c333825e9d2f912db1d353b0e8/front.png
az045_scale100_elev35_84,cabinet,0968a1c333825e9d2f912db1d353b0e8,left,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/0968a1c333825e9d2f912db1d353b0e8/left.png
az045_scale100_elev35_84,cabinet,0968a1c333825e9d2f912db1d353b0e8,back,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/0968a1c333825e9d2f912db1d353b0e8/back.png
az045_scale100_elev35_84,cabinet,0968a1c333825e9d2f912db1d353b0e8,right,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/0968a1c333825e9d2f912db1d353b0e8/right.png
az045_scale100_elev35_84,cabinet,0b558ffc6d640331607c4eeca7e99fb6,front,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/0b558ffc6d640331607c4eeca7e99fb6/front.png
az045_scale100_elev35_84,cabinet,0b558ffc6d640331607c4eeca7e99fb6,left,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/0b558ffc6d640331607c4eeca7e99fb6/left.png
az045_scale100_elev35_84,cabinet,0b558ffc6d640331607c4eeca7e99fb6,back,tiny,0.008404,40,80,0.012207,True,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/0b558ffc6d640331607c4eeca7e99fb6/back.png
az045_scale100_elev35_84,cabinet,0b558ffc6d640331607c4eeca7e99fb6,right,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/0b558ffc6d640331607c4eeca7e99fb6/right.png
az045_scale100_elev35_84,cabinet,0dd113faaefaf20150c364db6c094d46,front,tiny,0.011940,56,78,0.016663,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/0dd113faaefaf20150c364db6c094d46/front.png
az045_scale100_elev35_84,cabinet,0dd113faaefaf20150c364db6c094d46,left,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/0dd113faaefaf20150c364db6c094d46/left.png
az045_scale100_elev35_84,cabinet,0dd113faaefaf20150c364db6c094d46,back,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/0dd113faaefaf20150c364db6c094d46/back.png
az045_scale100_elev35_84,cabinet,0dd113faaefaf20150c364db6c094d46,right,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/0dd113faaefaf20150c364db6c094d46/right.png
az045_scale100_elev35_84,cabinet,123f6a89cd741c984dc5030f1c7ca2a3,front,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/123f6a89cd741c984dc5030f1c7ca2a3/front.png
az045_scale100_elev35_84,cabinet,123f6a89cd741c984dc5030f1c7ca2a3,left,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/123f6a89cd741c984dc5030f1c7ca2a3/left.png
az045_scale100_elev35_84,cabinet,123f6a89cd741c984dc5030f1c7ca2a3,back,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/123f6a89cd741c984dc5030f1c7ca2a3/back.png
az045_scale100_elev35_84,cabinet,123f6a89cd741c984dc5030f1c7ca2a3,right,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/123f6a89cd741c984dc5030f1c7ca2a3/right.png
az045_scale100_elev35_84,cabinet,1347473d7fe8c041e902558d24c9e375,front,blank,0.000984,24,15,0.001373,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/1347473d7fe8c041e902558d24c9e375/front.png
az045_scale100_elev35_84,cabinet,1347473d7fe8c041e902558d24c9e375,left,blank,0.000000,0,0,0.000000,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/1347473d7fe8c041e902558d24c9e375/left.png
