label,category,uid,view,class,fg_ratio,bbox_width,bbox_height,bbox_area_ratio,touches_edge,path
baseline84,cabinet,05b603614a4ff2f04bfa544a2d85a0bd,front,tiny,0.002644,29,73,0.008076,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/05b603614a4ff2f04bfa544a2d85a0bd/front.png
baseline84,cabinet,05b603614a4ff2f04bfa544a2d85a0bd,left,tiny,0.002258,12,57,0.002609,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/05b603614a4ff2f04bfa544a2d85a0bd/left.png
baseline84,cabinet,05b603614a4ff2f04bfa544a2d85a0bd,back,tiny,0.002300,26,71,0.007042,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/05b603614a4ff2f04bfa544a2d85a0bd/back.png
baseline84,cabinet,05b603614a4ff2f04bfa544a2d85a0bd,right,tiny,0.003071,23,39,0.003422,True,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/05b603614a4ff2f04bfa544a2d85a0bd/right.png
baseline84,cabinet,06ba887f18c9cd0fdc34bd23e2c31de2,front,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/06ba887f18c9cd0fdc34bd23e2c31de2/front.png
baseline84,cabinet,06ba887f18c9cd0fdc34bd23e2c31de2,left,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/06ba887f18c9cd0fdc34bd23e2c31de2/left.png
baseline84,cabinet,06ba887f18c9cd0fdc34bd23e2c31de2,back,blank,0.000263,11,9,0.000378,True,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/06ba887f18c9cd0fdc34bd23e2c31de2/back.png
baseline84,cabinet,06ba887f18c9cd0fdc34bd23e2c31de2,right,tiny,0.001087,24,20,0.001831,True,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/06ba887f18c9cd0fdc34bd23e2c31de2/right.png
baseline84,cabinet,0968a1c333825e9d2f912db1d353b0e8,front,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/0968a1c333825e9d2f912db1d353b0e8/front.png
baseline84,cabinet,0968a1c333825e9d2f912db1d353b0e8,left,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/0968a1c333825e9d2f912db1d353b0e8/left.png
baseline84,cabinet,0968a1c333825e9d2f912db1d353b0e8,back,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/0968a1c333825e9d2f912db1d353b0e8/back.png
baseline84,cabinet,0968a1c333825e9d2f912db1d353b0e8,right,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/0968a1c333825e9d2f912db1d353b0e8/right.png
