category,uid,previous_class,new_class,best_fg_ratio,best_bbox_area_ratio,best_max_dim,view_classes,diag_ratio,usd_path
cabinet,05b603614a4ff2f04bfa544a2d85a0bd,tiny,tiny,0.003071,0.008076,73,tiny;tiny;tiny;tiny,12490962689454163525922493642454335488.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/05b603614a4ff2f04bfa544a2d85a0bd/usd/05b603614a4ff2f04bfa544a2d85a0bd.usd
cabinet,06ba887f18c9cd0fdc34bd23e2c31de2,tiny,tiny,0.001087,0.001831,24,blank;blank;blank;tiny,6290528836023835781301761439109742592.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/06ba887f18c9cd0fdc34bd23e2c31de2/usd/06ba887f18c9cd0fdc34bd23e2c31de2.usd
cabinet,0968a1c333825e9d2f912db1d353b0e8,blank,blank,0.000000,0.000000,0,blank;blank;blank;blank,18996456596593245205123840454927843328.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0968a1c333825e9d2f912db1d353b0e8/usd/0968a1c333825e9d2f912db1d353b0e8.usd
cabinet,0b558ffc6d640331607c4eeca7e99fb6,tiny,tiny,0.012486,0.013245,62,blank;blank;tiny;blank,11429599220255751212088244779423367168.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0b558ffc6d640331607c4eeca7e99fb6/usd/0b558ffc6d640331607c4eeca7e99fb6.usd
cabinet,0dd113faaefaf20150c364db6c094d46,tiny,tiny,0.015022,0.019455,75,tiny;blank;blank;blank,11429599744946045067412245968167370752.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/0dd113faaefaf20150c364db6c094d46/usd/0dd113faaefaf20150c364db6c094d46.usd
cabinet,123f6a89cd741c984dc5030f1c7ca2a3,tiny,tiny,0.004429,0.004578,60,blank;tiny;blank;blank,13937248535068965826015833749563899904.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/123f6a89cd741c984dc5030f1c7ca2a3/usd/123f6a89cd741c984dc5030f1c7ca2a3.usd
cabinet,1347473d7fe8c041e902558d24c9e375,blank,blank,0.000000,0.000000,0,blank;blank;blank;blank,26119470683570991895410636815406727168.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/1347473d7fe8c041e902558d24c9e375/usd/1347473d7fe8c041e902558d24c9e375.usd
cabinet,152f5172416f7db261631d902d48e910,tiny,tiny,0.005566,0.008850,80,tiny;blank;blank;blank,11177503596073727514144803421820026880.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/152f5172416f7db261631d902d48e910/usd/152f5172416f7db261631d902d48e910.usd
cabinet,1a90eabdd92d987169fdd8e83b63c939,blank,blank,0.000000,0.000000,0,blank;blank;blank;blank,13749482928041033838775876367643836416.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/1a90eabdd92d987169fdd8e83b63c939/usd/1a90eabdd92d987169fdd8e83b63c939.usd
cabinet,1e4fec39fe2640c5567413a407c0550a,tiny,tiny,0.001518,0.001602,42,tiny;blank;blank;blank,8403301208649506821777956330782326784.000000,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/1e4fec39fe2640c5567413a407c0550a/usd/1e4fec39fe2640c5567413a407c0550a.usd
