category,uid,combined_status,baseline_asset_class,az045_asset_class,baseline_view_classes,az045_view_classes,best_view_source,best_view_name,best_view_class,best_fg_ratio,best_bbox_area_ratio,best_bbox_width,best_bbox_height,best_touches_edge,best_path,usd_path
cabinet,06ba887f18c9cd0fdc34bd23e2c31de2,has_ok_view,tiny,suspicious,blank;blank;blank;tiny,blank;blank;ok;blank,az045,back,ok,0.007530,0.016731,129,34,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/06ba887f18c9cd0fdc34bd23e2c31de2/back.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/06ba887f18c9cd0fdc34bd23e2c31de2/usd/06ba887f18c9cd0fdc34bd23e2c31de2.usd
cabinet,152f5172416f7db261631d902d48e910,has_ok_view,tiny,suspicious,tiny;blank;blank;blank,ok;blank;blank;blank,az045,front,ok,0.007629,0.014248,45,83,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/152f5172416f7db261631d902d48e910/front.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/152f5172416f7db261631d902d48e910/usd/152f5172416f7db261631d902d48e910.usd
cabinet,1f920706d855b66a9423f8bf95c65ebd,has_ok_view,tiny,suspicious,blank;tiny;blank;blank,ok;blank;blank;blank,az045,front,ok,0.014244,0.017120,51,88,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/1f920706d855b66a9423f8bf95c65ebd/front.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/1f920706d855b66a9423f8bf95c65ebd/usd/1f920706d855b66a9423f8bf95c65ebd.usd
cabinet,2d7a430d61d143c157c48cd1bb9906eb,has_ok_view,tiny,suspicious,tiny;blank;blank;blank,blank;blank;blank;ok,az045,right,ok,0.019138,0.030354,109,73,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/2d7a430d61d143c157c48cd1bb9906eb/right.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/2d7a430d61d143c157c48cd1bb9906eb/usd/2d7a430d61d143c157c48cd1bb9906eb.usd
cabinet,2ed9edd34221c034f3835f97b1781350,has_ok_view,tiny,suspicious,tiny;blank;blank;blank,ok;blank;blank;blank,az045,front,ok,0.010597,0.026726,113,62,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/2ed9edd34221c034f3835f97b1781350/front.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/2ed9edd34221c034f3835f97b1781350/usd/2ed9edd34221c034f3835f97b1781350.usd
cabinet,2f879eed3493f998cab1131945feee62,has_ok_view,tiny,suspicious,tiny;blank;blank;blank,blank;blank;blank;ok,az045,right,ok,0.003738,0.008034,26,81,True,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/2f879eed3493f998cab1131945feee62/right.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/2f879eed3493f998cab1131945feee62/usd/2f879eed3493f998cab1131945feee62.usd
cabinet,3a0d2a8e5ae7e4ad9623d478712760ac,has_ok_view,tiny,suspicious,blank;blank;blank;tiny,blank;blank;ok;blank,az045,back,ok,0.003319,0.014206,98,38,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/3a0d2a8e5ae7e4ad9623d478712760ac/back.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/3a0d2a8e5ae7e4ad9623d478712760ac/usd/3a0d2a8e5ae7e4ad9623d478712760ac.usd
cabinet,4866619352707772cd8a6b51d67b0505,has_ok_view,tiny,suspicious,blank;blank;tiny;blank,blank;ok;blank;blank,az045,left,ok,0.012836,0.030762,126,64,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/4866619352707772cd8a6b51d67b0505/left.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/4866619352707772cd8a6b51d67b0505/usd/4866619352707772cd8a6b51d67b0505.usd
cabinet,4b7b6a6d27f5e3f48f4462424ec81c06,has_ok_view,blank,suspicious,blank;blank;blank;blank,blank;blank;ok;blank,az045,back,ok,0.011646,0.014038,40,92,False,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/4b7b6a6d27f5e3f48f4462424ec81c06/back.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/4b7b6a6d27f5e3f48f4462424ec81c06/usd/4b7b6a6d27f5e3f48f4462424ec81c06.usd
cabinet,579a0f1032f32deb1e3cfd24e9e43d30,has_ok_view,blank,suspicious,blank;blank;blank;blank,ok;blank;blank;blank,az045,front,ok,0.020485,0.023346,68,90,True,docs/tmp/remaining-cabinet-door-investigation/renders84/az045_scale100_elev35/cabinet/579a0f1032f32deb1e3cfd24e9e43d30/front.png,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/cabinet/579a0f1032f32deb1e3cfd24e9e43d30/usd/579a0f1032f32deb1e3cfd24e9e43d30.usd
